,code,label,level
2593,10 44 16.16,Wheeled Fire Extinguisher Units,5
2594,10 44 19,Fire Blankets,4
2595,10 44 43,Fire Extinguisher Accessories,4
2596,10 45 00,Photoluminescent Exit Specialties,3
2597,10 50 00,Storage Specialties,2
2598,10 51 00,Lockers,3
2599,10 51 13,Metal Lockers,4
2600,10 51 13.13,Coin-Operated Metal Lockers,5
2601,10 51 16,Wood Lockers,4
2602,10 51 23,Plastic-Laminate-Clad Lockers,4
2603,10 51 26,Plastic Lockers,4
2604,10 51 26.13,Recycled Plastic Lockers,5
2605,10 51 29,Phenolic Lockers,4
2606,10 51 33,Glass Lockers,4
2607,10 51 43,Wire Mesh Storage Lockers,4
2608,10 51 53,Locker Room Benches,4
2609,10 55 00,Postal Specialties,3
2610,10 55 13,Central Mail Delivery Boxes,4
2611,10 55 13.13,Cluster Box Units,5
2612,10 55 16,Mail Collection Boxes,4
2613,10 55 19,Receiving Boxes,4
2614,10 55 23,Mail Boxes,4
2615,10 55 23.13,Apartment Mail Boxes,5
2616,10 55 23.16,Mail Box Directories,5
2617,10 55 23.19,Mail Box Key Keepers,5
2618,10 55 26,Parcel Lockers,4
2619,10 55 33,Data Distribution Boxes,4
2620,10 55 36,Package Depositories,4
2621,10 55 91,Mail Chutes,4
2622,10 56 00,Storage Assemblies,3
2623,10 56 13,Metal Storage Shelving,4
2624,10 56 13.13,End-Panel-Support Metal Storage Shelving,5
2625,10 56 13.16,Post-and-Shelf Metal Storage Shelving,5
2626,10 56 13.19,Post-and-Beam Metal Storage Shelving,5
2627,10 56 13.23,Cantilever Metal Storage Shelving,5
2628,10 56 16,Fabricated Wood Storage Shelving,4
2629,10 56 17,Wall-Mounted Standards and Shelving,4
2630,10 56 19,Plastic Storage Shelving,4
2631,10 56 19.13,Recycled Plastic Storage Shelving,5
2632,10 56 23,Wire Storage Shelving,4
2633,10 56 26,Mobile Storage Shelving,4
2634,10 56 26.13,Manual Mobile Storage Shelving,5
2635,10 56 26.23,Motorized Mobile Storage Shelving,5
2636,10 56 29,Storage Racks,4
2637,10 56 29.13,Flow Storage Racks,5
2638,10 56 29.16,Pallet Storage Racks,5
2639,10 56 29.19,Movable-Shelf Storage Racks,5
2640,10 56 29.23,Stacker Storage Racks,5
2641,10 56 29.26,Cantilever Storage Racks,5
2642,10 56 29.29,Drive-In Storage Racks,5
2643,10 56 29.33,Drive-Through Storage Racks,5
2644,10 56 29.43,Wine Storage Racks,5
2645,10 56 33,Mercantile Storage Assemblies,4
2646,10 57 00,Wardrobe and Closet Specialties,3
2647,10 57 13,Hat and Coat Racks,4
2648,10 57 16,Boot Racks,4
2649,10 57 23,Closet and Utility Shelving,4
2650,10 57 23.13,Wire Closet and Utility Shelving,5
2651,10 57 23.16,Plastic-Laminate-Clad Closet and Utility Shelving,5
2652,10 57 23.19,Wood Closet and Utility Shelving,5
2653,10 57 33,Closet and Utility Shelving Hardware,4
2654,10 57 36,Closet Doors,4
2655,10 57 36.13,Sliding Closet Doors,5
2656,10 57 36.16,Bifold Closet Doors,5
2657,10 70 00,Exterior Specialties,2
2658,10 71 00,Exterior Protection,3
2659,10 71 13,Exterior Sun Control Devices,4
2660,10 71 13.13,Exterior Shutters,5
2661,10 71 13.19,Rolling Exterior Shutters,5
2662,10 71 13.23,Coiling Exterior Shutters,5
2663,10 71 13.26,Decorative Exterior Shutters,5
2664,10 71 13.29,Side-Hinged Exterior Shutters,5
2665,10 71 13.43,Fixed Sun Screens,5
2666,10 71 13.53,Exterior Daylighting Devices,5
2667,10 71 16,Storm Panels,4
2668,10 71 16.13,Demountable Storm Panels,5
2669,10 71 16.16,Movable Storm Panels,5
2670,10 71 19,Flood Barriers,4
2671,10 71 19.16,Removable Flood Barriers,5
2672,10 73 00,Protective Covers,3
2673,10 73 13,Awnings,4
2674,10 73 13.13,Metal Awnings,5
2675,10 73 13.23,Fabric Awnings,5
2676,10 73 13.36,Point Supported Glass Awnings,5
2677,10 73 16,Canopies,4
2678,10 73 16.13,Metal Canopies,5
2679,10 73 16.23,Fabric Canopies,5
2680,10 73 16.33,Glazed Canopies,5
2681,10 73 16.36,Point Supported Glass Canopies,5
2682,10 73 23,Car Shelters,4
2683,10 73 26,Walkway Coverings,4
2684,10 73 26.13,Metal Walkway Coverings,5
2685,10 73 26.23,Fabric Walkway Coverings,5
2686,10 73 26.33,Glazed Walkway Coverings,5
2687,10 73 26.36,Point Supported Glass Walkway Coverings,5
2688,10 73 33,Marquees,4
2689,10 73 43,Transportation Stop Shelters,4
2690,10 74 00,Manufactured Exterior Specialties,3
2691,10 74 13,Exterior Clocks,4
2692,10 74 23,Cupolas,4
2693,10 74 26,Spires,4
2694,10 74 29,Steeples,4
2695,10 74 33,Weathervanes,4
2696,10 74 43,Below-Grade Egress Assemblies,4
2697,10 74 46,Window Wells,4
2698,10 75 00,Flagpoles,3
2699,10 75 13,Automatic Flagpoles,4
2700,10 75 16,Ground-Set Flagpoles,4
2701,10 75 19,Nautical Flagpoles,4
2702,10 75 23,Wall-Mounted Flagpoles,4
2703,10 75 26,Roof-Mounted Flagpoles,4
2704,10 75 29,Plaza-Mounted Flagpoles,4
2705,10 80 00,Other Specialties,2
2706,10 81 00,Pest Control Devices,3
2707,10 81 13,Bird Control Devices,4
2708,10 81 16,Insect Control Devices,4
2709,10 81 19,Rodent Control Devices,4
2710,10 82 00,Grilles and Screens,3
2711,10 82 13,Exterior Grilles and Screens,4
2712,10 82 19,Exterior Sound Screens,4
2713,10 82 23,Interior Grilles and Screens,4
2714,10 83 00,Flags and Banners,3
2715,10 83 13,Flags,4
2716,10 83 16,Banners,4
2717,10 84 00,Gas Lighting,3
2718,10 84 13,Exterior Gas Lighting,4
2719,10 84 16,Interior Gas Lighting,4
2720,10 86 00,Security Mirrors and Domes,3
2721,10 88 00,Scales,3
2722,11 00 00,Equipment,1
2723,11 01 00,Operation and Maintenance of Equipment,3
2724,11 01 10,Operation and Maintenance of Vehicle and Pedestrian Equipment,4
2725,11 01 20,Operation and Maintenance of Commercial Equipment,4
2726,11 01 30,Operation and Maintenance of Residential Equipment,4
2727,11 01 40,Operation and Maintenance of Foodservice Equipment,4
2728,11 01 50,Operation and Maintenance of Educational and Scientific Equipment,4
2729,11 01 56,Operation and Maintenance of Observatory Equipment,4
2730,11 01 60,Operation and Maintenance of Entertainment and Recreation Equipment,4
2731,11 01 70,Operation and Maintenance of Healthcare Equipment,4
2732,11 01 80,Operation and Maintenance of Facility Maintenance and Operation Equipment,4
2733,11 01 90,Operation and Maintenance of Other Equipment,4
2734,11 05 00,Common Work Results for Equipment,3
2735,11 05 05,Selective Demolition for Equipment,4
2736,11 05 13,Common Motor Requirements for Equipment,4
2737,11 06 00,Schedules for Equipment,3
2738,11 06 10,Schedules for Vehicle and Pedestrian Equipment,4
2739,11 06 20,Schedules for Commercial Equipment,4
2740,11 06 30,Schedules for Residential Equipment,4
2741,11 06 40,Schedules for Foodservice Equipment,4
2742,11 06 40.13,Foodservice Equipment Schedule,5
2743,11 06 50,Schedules for Educational and Scientific Equipment,4
2744,11 06 60,Schedules for Entertainment and Recreation Equipment,4
2745,11 06 70,Schedules for Healthcare Equipment,4
2746,11 06 70.13,Healthcare Equipment Schedule,5
2747,11 06 80,Schedules for Facility Maintenance and Operation Equipment,4
2748,11 06 90,Schedules for Other Equipment,4
2749,11 06 90.11,Schedules for Detention Equipment,5
2750,11 08 00,Commissioning of Equipment,3
2751,11 10 00,Vehicle and Pedestrian Equipment,2
2752,11 11 00,Vehicle Service Equipment,3
2753,11 11 13,Compressed-Air Vehicle Service Equipment,4
2754,11 11 19,Vehicle Lubrication Equipment,4
2755,11 11 23,Tire-Changing Equipment,4
2756,11 11 26,Vehicle-Washing Equipment,4
2757,11 11 36,Vehicle Charging Equipment,4
2758,11 11 36.13,Commercial Electric Vehicle Charging Unit,5
2759,11 11 36.16,Residential Electric Vehicle Charging Unit,5
2760,11 12 00,Parking Control Equipment,3
2761,11 12 13,Parking Key and Card Control Units,4
2762,11 12 16,Parking Ticket Dispensers,4
2763,11 12 23,Parking Meters,4
2764,11 12 26,Parking Fee Collection Equipment,4
2765,11 12 26.13,Parking Fee Coin Collection Equipment,5
2766,11 12 33,Parking Gates,4
2767,11 12 33.13,Lift Arm Parking Gates,5
2768,11 12 33.16,Sliding Parking Gates,5
2769,11 12 33.19,Swinging Parking Gates,5
2770,11 13 00,Loading Dock Equipment,3
2771,11 13 13,Loading Dock Bumpers,4
2772,11 13 16,Loading Dock Seals and Shelters,4
2773,11 13 16.13,Loading Dock Seals,5
2774,11 13 16.23,Loading Dock Shelters,5
2775,11 13 16.33,Loading Dock Rail Shelters,5
2776,11 13 19,Stationary Loading Dock Equipment,4
2777,11 13 19.13,Loading Dock Levelers,5
2778,11 13 19.23,Stationary Loading Dock Lifts,5
2779,11 13 19.26,Loading Dock Truck Lifts,5
2780,11 13 19.33,Loading Dock Truck Restraints,5
2781,11 13 23,Portable Dock Equipment,4
2782,11 13 23.13,Portable Dock Lifts,5
2783,11 13 23.16,Portable Dock Ramps,5
2784,11 13 23.19,Portable Dock Bridges,5
2785,11 13 23.23,Portable Dock Platforms,5
2786,11 13 26,Loading Dock Lights,4
2787,11 14 00,Pedestrian Control Equipment,3
2788,11 14 13,Pedestrian Gates,4
2789,11 14 13.16,Rotary Gates,5
2790,11 14 13.19,Turnstiles,5
2791,11 14 16,Pedestrian Control Devices,4
2792,11 14 19,Portable Posts and Railings,4
2793,11 14 26,Pedestrian Fare Collection Equipment,4
2794,11 14 26.13,Pedestrian Coin Fare Collection Equipment,5
2795,11 14 43,Pedestrian Detection Equipment,4
2796,11 14 43.13,Electronic Detection and Counting Systems,5
2797,11 14 53,Pedestrian Security Equipment,4
2798,11 15 00,Security Control Equipment,3
2799,11 20 00,Commercial Equipment,2
2800,11 21 00,Retail and Service Equipment,3
2801,11 21 13,Cash Registers and Checking Equipment,4
2802,11 21 23,Vending Equipment,4
2803,11 21 23.13,Merchandise Vending Machines,5
2804,11 21 23.16,Reverse Vending Machines,5
2805,11 21 23.19,Video Rental Vending Machines,5
2806,11 21 23.36,Token Vending Machines,5
2807,11 21 24,Money Changing Machines,4
2808,11 21 33,Checkroom Equipment,4
2809,11 21 43,Weighing and Wrapping Equipment,4
2810,11 21 53,Barber and Beauty Shop Equipment,4
2811,11 21 63,Refrigerated Display Equipment,4
2812,11 21 73,Commercial Laundry and Dry Cleaning Equipment,4
2813,11 21 73.13,Dry Cleaning Equipment,5
2814,11 21 73.16,Drying and Conditioning Equipment,5
2815,11 21 73.19,Finishing Equipment,5
2816,11 21 73.23,Commercial Ironing Equipment,5
2817,11 21 73.26,Commercial Washers and Extractors,5
2818,11 21 73.33,Coin-Operated Laundry Equipment,5
2819,11 21 73.43,Hanging Garment Conveyors,5
2820,11 21 83,Photo Processing Equipment,4
2821,11 22 00,Banking Equipment,3
2822,11 22 13,Vault Equipment,4
2823,11 22 13.13,Safe Deposit Boxes,5
2824,11 22 13.16,Safes,5
2825,11 22 13.23,Vault Ventilators,5
2826,11 22 13.26,Time Capsules,5
2827,11 22 16,Teller and Service Equipment,4
2828,11 22 16.13,Teller Equipment Systems,5
2829,11 22 16.16,Automatic Banking Systems,5
2830,11 22 16.19,Money Handling Equipment,5
2831,11 22 16.23,Money Depositories,5
2832,11 22 16.26,Money Cart Pass-Through,5
2833,11 22 16.29,Package Transfer Units,5
2834,11 22 16.33,Deal Trays,5
2835,11 25 00,Hospitality Equipment,3
2836,11 25 13,Registration Equipment,4
2837,11 28 00,Office Equipment,3
2838,11 28 13,Computers,4
2839,11 28 16,Printers,4
2840,11 28 23,Copiers,4
2841,11 29 00,"Postal, Packaging, and Shipping Equipment",3
2842,11 29 23,Packaging Equipment,4
2843,11 29 33,Shipping Equipment,4
2844,11 29 55,Postal Equipment,4
2845,11 30 00,Residential Equipment,2
2846,11 30 13,Residential Appliances,4
2847,11 30 13.13,Residential Kitchen Appliances,5
2848,11 30 13.23,Residential Laundry Appliances,5
2849,11 30 33,Retractable Stairs,4
2850,11 30 34,Residential Ceiling Fans,4
2851,11 32 00,Unit Kitchens,3
2852,11 32 13,Metal Unit Kitchens,4
2853,11 32 16,Wood Unit Kitchens,4
2854,11 32 19,Plastic-Laminate-Clad Unit Kitchens,4
2855,11 40 00,Foodservice Equipment,2
2856,11 41 00,Foodservice Storage Equipment,3
2857,11 41 13,Refrigerated Food Storage Cases,4
2858,11 41 23,Walk-In Coolers,4
2859,11 41 26,Walk-In Freezers,4
2860,11 41 33,Foodservice Shelving,4
2861,11 42 00,Food Preparation Equipment,3
2862,11 42 13,Food Preparation Appliances,4
2863,11 42 16,Food Preparation Surfaces,4
2864,11 43 00,Food Delivery Carts and Conveyors,3
2865,11 43 13,Food Delivery Carts,4
2866,11 43 16,Food Delivery Conveyors,4
2867,11 44 00,Food Cooking Equipment,3
2868,11 44 13,Commercial Ranges,4
2869,11 44 16,Commercial Ovens,4
2870,11 46 00,Food Dispensing Equipment,3
2871,11 46 13,Bar Equipment,4
2872,11 46 16,Service Line Equipment,4
2873,11 46 19,Soda Fountain Equipment,4
2874,11 46 23,Coffee and Espresso Equipment,4
2875,11 46 83,Ice Machines,4
2876,11 48 00,Foodservice Cleaning and Disposal Equipment,3
2877,11 48 13,Commercial Dishwashers,4
2878,11 50 00,Educational and Scientific Equipment,2
2879,11 51 00,Library Equipment,3
2880,11 51 13,Automated Book Storage and Retrieval Systems,4
2881,11 51 16,Book Depositories,4
2882,11 51 19,Book Theft Protection Equipment,4
2883,11 51 23,Library Stack Systems,4
2884,11 51 23.13,Metal Library Shelving,5
2885,11 52 00,Audio-Visual Equipment,3
2886,11 52 13,Projection Screens,4
2887,11 52 13.13,Fixed Projection Screens,5
2888,11 52 13.16,Portable Projection Screens,5
2889,11 52 13.19,Rear Projection Screens,5
2890,11 52 16,Projectors,4
2891,11 52 16.13,Movie Projectors,5
2892,11 52 16.16,Slide Projectors,5
2893,11 52 16.19,Overhead Projectors,5
2894,11 52 16.23,Opaque Projectors,5
2895,11 52 16.26,Video Projectors,5
2896,11 52 19,Players and Recorders,4
2897,11 52 23,Audio-Visual Equipment Supports,4
2898,11 53 00,Laboratory Equipment,3
2899,11 53 13,Laboratory Fume Hoods,4
2900,11 53 13.13,Recirculating Laboratory Fume Hoods,5
2901,11 53 16,Laboratory Incubators,4
2902,11 53 17,Laboratory Equipment Washers,4
2903,11 53 19,Laboratory Sterilizers,4
2904,11 53 23,Laboratory Refrigerators,4
2905,11 53 26,Laboratory Freezers,4
2906,11 53 29,Laboratory Controlled-Environment Cabinets,4
2907,11 53 33,Emergency Safety Appliances,4
2908,11 53 43,Service Fittings and Accessories,4
2909,11 53 53,Biological Safety Cabinets,4
2910,11 55 00,Planetarium Equipment,3
2911,11 55 13,Planetarium Projectors,4
2912,11 55 16,Planetarium Pendulums,4
2913,11 56 00,Observatory Equipment,3
2914,11 56 13,Telescopes,4
2915,11 56 16,Telescope Mounts,4
2916,11 56 19,Telescope Drive Mechanisms,4
2917,11 56 23,Telescope Domes,4
2918,11 57 00,Vocational Shop Equipment,3
2919,11 59 00,Exhibit Equipment,3
2920,11 60 00,Entertainment and Recreation Equipment,2
2921,11 61 00,"Broadcast, Theater, and Stage Equipment",3
2922,11 61 13,Acoustical Shells,4
2923,11 61 23,Folding and Portable Stages,4
2924,11 61 33,Rigging Systems and Controls,4
2925,11 61 33.11,Lighting Rigging Systems,5
2926,11 61 33.16,Scenery Rigging Systems,5
2927,11 61 33.19,Curtain Systems,5
2928,11 61 43,Stage Curtains,4
2929,11 62 00,Musical Equipment,3
2930,11 62 13,Bells,4
2931,11 62 16,Carillons,4
2932,11 62 19,Organs,4
2933,11 66 00,Athletic Equipment,3
2934,11 66 13,Exercise Equipment,4
2935,11 66 23,Gymnasium Equipment,4
2936,11 66 23.13,Basketball Equipment,5
2937,11 66 23.23,Volleyball Equipment,5
2938,11 66 23.33,Interior Tennis Equipment,5
2939,11 66 23.43,Interior Track and Field Equipment,5
2940,11 66 23.53,Wall Padding,5
2941,11 66 23.56,Mat Storage,5
2942,11 66 43,Interior Scoreboards,4
2943,11 66 53,Gymnasium Dividers,4
2944,11 66 53.13,Batting/Golf Cages,5
2945,11 67 00,Recreational Equipment,3
2946,11 67 13,Bowling Alley Equipment,4
2947,11 67 23,Shooting Range Equipment,4
2948,11 67 33,Climbing Walls,4
2949,11 67 43,Table Games Equipment,4
2950,11 67 43.13,Pool Tables,5
2951,11 67 43.23,Ping-Pong Tables,5
2952,11 67 53,Game Room Equipment,4
2953,11 67 53.13,Video Games,5
2954,11 67 53.23,Pinball Machines,5
2955,11 68 00,Play Field Equipment and Structures,3
2956,11 68 13,Playground Equipment,4
2957,11 68 16,Play Structures,4
2958,11 68 23,Exterior Court Athletic Equipment,4
2959,11 68 23.13,Exterior Basketball Equipment,5
2960,11 68 23.23,Exterior Volleyball Equipment,5
2961,11 68 23.33,Tennis Equipment,5
2962,11 68 33,Athletic Field Equipment,4
2963,11 68 33.13,Football Field Equipment,5
2964,11 68 33.23,Soccer and Field Hockey Equipment,5
2965,11 68 33.33,Baseball Field Equipment,5
2966,11 68 33.43,Track and Field Equipment,5
2967,11 68 43,Exterior Scoreboards,4
2968,11 70 00,Healthcare Equipment,2
2969,11 71 00,Medical Sterilizing Equipment,3
2970,11 72 00,Examination and Treatment Equipment,3
2971,11 72 13,Examination Equipment,4
2972,11 72 53,Treatment Equipment,4
2973,11 73 00,Patient Care Equipment,3
2974,11 73 13,Psychiatric Seclusion Room Padding,4
2975,11 74 00,Dental Equipment,3
2976,11 75 00,Optical Equipment,3
2977,11 76 00,Operating Room Equipment,3
2978,11 77 00,Radiology Equipment,3
2979,11 78 00,Mortuary Equipment,3
2980,11 78 13,Mortuary Refrigerators,4
2981,11 78 16,Crematorium Equipment,4
2982,11 78 19,Mortuary Lifts,4
2983,11 79 00,Therapy Equipment,3
2984,11 80 00,Facility Maintenance and Operation Equipment,2
2985,11 81 00,Facility Maintenance Equipment,3
2986,11 81 13,Floor and Wall Cleaning Equipment,4
2987,11 81 16,Housekeeping Carts,4
2988,11 81 19,Vacuum Cleaning Systems,4
2989,11 81 23,Fa̤ade Access Equipment,4
2990,11 81 23.13,Window Washing Systems,5
2991,11 81 29,Facility Fall Protection,4
2992,11 82 00,Facility Solid Waste Handling Equipment,3
2993,11 82 13,Solid Waste Bins,4
2994,11 82 19,Packaged Incinerators,4
2995,11 82 23,Recycling Equipment,4
2996,11 82 26,Facility Waste Compactors,4
2997,11 82 29,Composting Equipment,4
2998,11 82 33,Facility Waste Shredders,4
2999,11 82 36,Facility Waste Balers,4
3000,11 90 00,Other Equipment,2
3001,11 91 00,Religious Equipment,3
3002,11 91 13,Baptisteries,4
3003,11 92 00,Agricultural Equipment,3
3004,11 92 13,Milkers,4
3005,11 92 16,Stock Feeders,4
3006,11 92 19,Stock Waterers,4
3007,11 92 23,Agricultural Waste Clean-Up Equipment,4
3008,11 93 00,Horticultural Equipment,3
3009,11 93 13,Hydroponic Growing Systems,4
3010,11 93 16,Seeders,4
3011,11 93 19,Transplanters,4
3012,11 93 23,Potting Machines,4
3013,11 93 26,Flat Fillers,4
3014,11 93 29,Baggers,4
3015,11 93 33,Soil Mixers,4
3016,11 94 00,Veterinary Equipment,3
3017,11 95 00,Arts and Crafts Equipment,3
3018,11 95 13,Kilns,4
3019,11 97 00,Security Equipment,3
3020,11 97 13,Deal Drawers,4
3021,11 97 16,Gun Ports,4
3022,11 97 23,Valuable Material Storage,4
3023,11 98 00,Detention Equipment,3
3024,11 98 11,Detention Equipment General Requirements,4
3025,11 98 12,Detention Doors and Frames,4
3026,11 98 13,Detention Pass-Through Doors,4
3027,11 98 14,Detention Door Hardware,4
3028,11 98 16,Detention Equipment Fasteners,4
3029,11 98 19,Detention Room Padding,4
3030,11 98 21,Detention Windows,4
3031,11 98 23,Detention Window Screens,4
3032,12 00 00,Furnishings,1
3033,12 01 00,Operation and Maintenance of Furnishings,3
3034,12 01 10,Operation and Maintenance of Art,4
3035,12 01 20,Operation and Maintenance of Window Treatments,4
3036,12 01 30,Operation and Maintenance of Casework,4
3037,12 01 40,Operation and Maintenance of Furnishings and Accessories,4
3038,12 01 50,Operation and Maintenance of Furniture,4
3039,12 01 60,Operation and Maintenance of Multiple Seating,4
3040,12 01 90,Operation and Maintenance of Other Furnishings,4
3041,12 05 00,Common Work Results for Furnishings,3
3042,12 05 05,Selective Demolition for Furnishings,4
3043,12 05 13,Fabrics,4
3044,12 06 00,Schedules for Furnishings,3
3045,12 06 10,Schedules for Art,4
3046,12 06 20,Schedules for Window Treatments,4
3047,12 06 20.13,Window Treatment Schedule,5
3048,12 06 30,Schedules for Casework,4
3049,12 06 30.13,Manufactured Casework Schedule,5
3050,12 06 40,Schedules for Furnishings and Accessories,4
3051,12 06 40.13,Furnishings Schedule,5
3052,12 06 50,Schedules for Furniture,4
3053,12 06 60,Schedules for Multiple Seating,4
3054,12 06 90,Schedules for Other Furnishings,4
3055,12 08 00,Commissioning of Furnishings,3
3056,12 10 00,Art,2
3057,12 11 00,Murals,3
3058,12 11 13,Photo Murals,4
3059,12 11 16,Sculptured Brick Panels,4
3060,12 11 23,Brick Murals,4
3061,12 11 26,Ceramic Tile Murals,4
3062,12 11 33,Trompe l'oeil,4
3063,12 12 00,Wall Decorations,3
3064,12 12 13,Commissioned Paintings,4
3065,12 12 16,Framed Paintings,4
3066,12 12 19,Framed Prints,4
3067,12 12 23,Tapestries,4
3068,12 12 26,Wall Hangings,4
3069,12 14 00,Sculptures,3
3070,12 14 13,Carved Sculpture,4
3071,12 14 16,Cast Sculpture,4
3072,12 14 19,Constructed Sculpture,4
3073,12 14 23,Relief Art,4
3074,12 17 00,Art Glass,3
3075,12 17 13,Etched Glass,4
3076,12 17 16,Stained Glass,4
3077,12 19 00,Religious Art,3
3078,12 20 00,Window Treatments,2
3079,12 21 00,Window Blinds,3
3080,12 21 13,Wood Blinds,4
3081,12 21 13.13,Metal Horizontal Louver Blinds,5
3082,12 21 13.23,Wood Horizontal Louver Blinds,5
3083,12 21 13.33,Plastic Horizontal Louver Blinds,5
3084,12 21 16,Vertical Louver Blinds,4
3085,12 21 16.13,Metal Vertical Louver Blinds,5
3086,12 21 16.23,Wood Vertical Louver Blinds,5
3087,12 21 16.33,Plastic Vertical Louver Blinds,5
3088,12 21 23,Roll-Down Blinds,4
3089,12 21 26,Black-Out Blinds,4
3090,12 22 00,Curtains and Drapes,3
3091,12 22 13,Draperies,4
3092,12 22 16,Drapery Track and Accessories,4
3093,12 23 00,Interior Shutters,3
3094,12 23 13,Wood Interior Shutters,4
3095,12 24 00,Window Shades,3
3096,12 24 13,Roller Window Shades,4
3097,12 24 16,Pleated Window Shades,4
3098,12 24 16.13,Z-Pleated Window Shades,5
3099,12 24 16.16,Cellular Shades,5
3100,12 24 16.19,Roman Shades,5
3101,12 25 00,Window Treatment Operating Hardware,3
3102,12 25 09,Window Treatment Control System,4
3103,12 25 13,Motorized Drapery Rods,4
3104,12 26 00,Interior Daylighting Devices,3
3105,12 30 00,Casework,2
3106,12 31 00,Manufactured Metal Casework,3
3107,12 31 16,Manufactured Metal Sandwich Panel Casework,4
3108,12 32 00,Manufactured Wood Casework,3
3109,12 32 13,Manufactured Wood-Veneer-Faced Casework,4
3110,12 32 16,Manufactured Plastic-Laminate-Clad Casework,4
3111,12 34 00,Manufactured Plastic Casework,3
3112,12 34 16,Manufactured Solid-Plastic Casework,4
3113,12 34 19,Manufactured Solid Surface Casework,4
3114,12 35 00,Specialty Casework,3
3115,12 35 17,Bank Casework,4
3116,12 35 25,Hospitality Casework,4
3117,12 35 30,Residential Casework,4
3118,12 35 30.13,Kitchen Casework,5
3119,12 35 30.23,Bathroom Casework,5
3120,12 35 30.43,Dormitory Casework,5
3121,12 35 33,Utility Room Casework,4
3122,12 35 36,Mailroom Casework,4
3123,12 35 39,Commercial Kitchen Casework,4
3124,12 35 50,Educational/Library Casework,4
3125,12 35 50.13,Educational Casework,5
3126,12 35 50.53,Library Casework,5
3127,12 35 50.56,Built-In Study Carrels,5
3128,12 35 53,Laboratory Casework,4
3129,12 35 53.13,Metal Laboratory Casework,5
3130,12 35 53.16,Plastic-Laminate-Clad Laboratory Casework,5
3131,12 35 53.19,Wood Laboratory Casework,5
3132,12 35 53.23,Solid-Plastic Laboratory Casework,5
3133,12 35 59,Display Casework,4
3134,12 35 70,Healthcare Casework,4
3135,12 35 70.13,Hospital Casework,5
3136,12 35 70.16,Nurse Station Casework,5
3137,12 35 70.19,Exam Room Casework,5
3138,12 35 70.74,Dental Casework,5
3139,12 35 83,Performing Arts Casework,4
3140,12 35 91,Religious Casework,4
3141,12 36 00,Countertops,3
3142,12 36 13,Concrete Countertops,4
3143,12 36 16,Metal Countertops,4
3144,12 36 19,Wood Countertops,4
3145,12 36 23,Plastic Countertops,4
3146,12 36 23.13,Plastic-Laminate-Clad Countertops,5
3147,12 36 26,Glass Countertops,4
3148,12 36 40,Stone Countertops,4
3149,12 36 53,Laboratory Countertops,4
3150,12 36 61,Simulated Stone Countertops,4
3151,12 36 61.13,Cultured Marble Countertops,5
3152,12 36 61.16,Solid Surfacing Countertops,5
3153,12 36 61.19,Quartz Agglomerate Countertops,5
3154,12 36 71,Paper-Composite Countertops,4
3155,12 40 00,Furnishings and Accessories,2
3156,12 41 00,Office Accessories,3
3157,12 41 13,Desk Accessories,4
3158,12 42 00,Table Accessories,3
3159,12 42 13,Ceramics,4
3160,12 42 16,Flatware,4
3161,12 42 16.13,Silverware,5
3162,12 42 19,Hollowware,4
3163,12 42 23,Glassware,4
3164,12 42 26,Table Linens,4
3165,12 42 26.13,Napery,5
3166,12 43 00,Portable Lamps,3
3167,12 43 13,Lamps,4
3168,12 43 13.13,Desk Lamps,5
3169,12 43 13.16,Table Lamps,5
3170,12 43 13.19,Floor Lamps,5
3171,12 44 00,Bath Furnishings,3
3172,12 44 13,Bath Linens,4
3173,12 44 13.13,Bath Mats,5
3174,12 44 13.16,Bath Towels,5
3175,12 44 16,Shower Curtains,4
3176,12 45 00,Bedroom Furnishings,3
3177,12 45 13,Bed Linens,4
3178,12 45 13.13,Blankets,5
3179,12 45 13.16,Comforters,5
3180,12 45 16,Pillows,4
3181,12 46 00,Furnishing Accessories,3
3182,12 46 13,Ash Receptacles,4
3183,12 46 16,Bowls,4
3184,12 46 19,Clocks,4
3185,12 46 23,Decorative Crafts,4
3186,12 46 26,Decorative Screens,4
3187,12 46 29,Vases,4
3188,12 46 33,Waste Receptacles,4
3189,12 48 00,Rugs and Mats,3
3190,12 48 13,Entrance Floor Mats and Frames,4
3191,12 48 13.13,Entrance Floor Mats,5
3192,12 48 13.16,Entrance Floor Mat Frames,5
3193,12 48 16,Entrance Floor Grilles,4
3194,12 48 19,Entrance Floor Gratings,4
3195,12 48 23,Entrance Floor Grids,4
3196,12 48 26,Entrance Tile,4
3197,12 48 43,Floor Mats,4
3198,12 48 43.13,Chair Mats,5
3199,12 48 43.23,Anti-Fatigue Floor Mats,5
3200,12 48 43.26,Fall-Cushioning Floor Mats,5
3201,12 48 53,Rugs,4
3202,12 48 53.13,Runners,5
3203,12 48 53.16,Oriental Rugs,5
3204,12 50 00,Furniture,2
3205,12 51 00,Office Furniture,3
3206,12 51 16,Case Goods,4
3207,12 51 16.13,Metal Case Goods,5
3208,12 51 16.16,Wood Case Goods,5
3209,12 51 16.19,Plastic-Laminate-Clad Case Goods,5
3210,12 51 19,Filing Cabinets,4
3211,12 51 19.13,Lateral Filing Cabinets,5
3212,12 51 19.16,Vertical Filing Cabinets,5
3213,12 51 23,Office Tables,4
3214,12 51 83,Custom Office Furniture,4
3215,12 52 00,Seating,3
