,IFC,Master Format,eBPK,Master Format indexes,eBPK indexes
774,pressure vessel,"['Pressure Grouting' 'Concrete Pressure Grouting'
 'Pressure Maintenance Pumps']",['Installation in power' 'Power line' 'VAT'],[5437 5438 3664],[ 78  28 327]
775,storage,['Foodservice Storage Equipment' 'Storage Silos' 'Hydrocarbon Storage'],['Storage device' 'Production system storage' 'Laboratory system storage'],[2856 8550 6279],[245 195 200]
776,vessel,"['Ion-exchange Vessel Media' 'Packed-Bed Ion-Exchange Vessels'
 'Mixed-Bed Ion-Exchange Vessels']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8642 8133 8129],[327 102 104]
777,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
778,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
779,finned,['Finned Water-Tube Boilers' 'Louvers' 'Door Louvers'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[4200 2046 2050],[327 102 104]
780,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
781,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
782,airconditioning unit,['Unit Kitchens' 'Unit Skylights' 'Ultrafilter Units'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[2851 1991 8120],[327 102 104]
783,air handler,['Air Barriers' 'HVAC Air Distribution' 'Gas-Phase Air Filtration'],['Air distribution' 'Air output' 'Air heating storage'],[1501 4099 4169],[119 120 118]
784,dehumidif ier,"['No. 1 Fuel-Oil Process Piping'
 'Ground-Level AWWA D110 Type I Prestressed Concrete Wastewater Storage Tanks'
 'Ground-Level AWWA D110 Type I Prestressed Concrete Water Storage Tanks']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[7090 6167 6103],[327 102 104]
785,rooftop unit,"['Custom-Packaged, Rooftop Air-Conditioning Units'
 'Packaged, Small-Capacity, Rooftop Air-Conditioning Units'
 'Packaged, Large-Capacity, Rooftop Air-Conditioning Units']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[4322 4313 4315],[327 102 104]
786,split system,"['Vertically Split Multistage Centrifugal Blowers'
 'Horizontally Split Multistage Centrifugal Blowers'
 'Waterway Snag Removal']",['System roof' 'Parking system' 'System integration'],[7864 7863 6752],[166 242  92]
787,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
788,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
789,air release,"['Air Release Valves for Wastewater Service'
 'Air Release Valves for Water Service'
 'Affidavit of Release of Liens Form']",['Air distribution' 'Air output' 'Outdoor air supply'],[7011 7007  216],[119 120 116]
790,anti vacuum,"['Vacuum Degasifiers' 'Gas-handling Vacuum Pumps'
 'Regenerative Vacuum Pumps']",['cleaning' 'cleaning' 'VAT'],[8137 7873 8092],[218 191 327]
791,changeover,"['Resilient Carpet Transitions'
 'Electrical Power Generation Voltage Test Equipment' 'Acoustical Shells']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[2285 8773 2922],[327 102 104]
792,check,"['Double-Disk Check Valves' 'Swing Check Valves'
 'Valves for Pump Control and Check Service']",['Wastewater fitting' 'Recreation system control' 'Access control system'],[6974 6972 6968],[132 235  94]
793,commissioning,['Commissioning' 'Commissioning of HVAC' 'Commissioning of Equipment'],['Commissioning building' 'Mediation commission' 'VAT'],[ 556 4012 2750],[318   8 327]
794,diverting,"['Field Sport Surfacing' 'Natural Field Sport Surfacing'
 'Synthetic Field Sport Surfacing']",['Sports facility' 'Sports facility' 'Sports facility'],[5736 5737 5738],[229 230 231]
795,double check,"['Double Check Valve Assembly Backflow Preventers for Process Service'
 'Double-Disk Check Valves' 'Swing Check Valves']",['Wastewater fitting' 'Recreation system control' 'Access control system'],[6977 6974 6972],[132 235  94]
796,double regulating,"['Double Disc Metal-Seated Gate Valves'
 'Between-bearings Impeller, Multiple-stage, Radially-split, Double Casing Centrifugal Pumps'
 'Double or Single Dump Bulk Materials Valves']",['Element to flat roof' 'Construction of flat roof' 'Reduction flat roof'],[6949 7953 7134],[167  68 164]
797,drawoff cock,['Process Tools' 'Hydraulic Process Tools' 'Electric Process Tools'],['Shaft front' 'VAT' 'Refrigeration'],[7634 7637 7636],[172 327 111]
798,faucet,"['Healthcare Faucets' 'Installing Bell-and-Spigot Joints'
 'Electrical Power Generation Voltage Test Equipment']",['Water tap' 'Gas tap' 'VAT'],[3880 5915 8773],[126 137 327]
799,flushing,"['Flushing Gates' 'Flushing of Water Utility Piping'
 'Tipping Sediment Flushing Tanks']",['Management level' 'Automation level' 'Field level'],[8591 5861 8590],[86 87 88]
800,gas cock,['Gas Compressors' 'Below-Grade Gas Retarders' 'Gas Containment'],['Gas distribution' 'Gas treatment' 'Gas storage'],[7875 1500  715],[136 134 135]
801,gas tap,['Gas Compressors' 'Below-Grade Gas Retarders' 'Gas Containment'],['Gas tap' 'Water tap' 'Gas distribution'],[7875 1500  715],[137 126 136]
802,isolating,"['Insulated Rooms' 'Insulating Sheathing'
 'Lightweight Insulating Concrete']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3381 1268  883],[327 102 104]
803,mixing,"['Mixing Equipment' 'Induction-type Rapid Mixing Equipment'
 'Schedules for Clarification and Mixing Equipment']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8558 8561 8460],[327 102 104]
804,pressure reducing,"['Pressure Grouting' 'Concrete Pressure Grouting'
 'Pressure Maintenance Pumps']",['Reduction flat roof' 'Fall protection' 'Fall protection lying outside'],[5437 5438 3664],[164 162 157]
805,pressure relief,['Relief Vents' 'Relief Art' 'Levee Relief Wells'],['Installation in power' 'Recreation system built in' 'Interior support'],[1647 3073 6794],[ 78 236  64]
806,regulating,"['Pressure-Regulating Valves' 'Liquid Hydrocarbon Pressure Regulation'
 'Hydrocarbon Utility Pressure Regulation']","['Provisional work management' 'working space'
 'Fixed equipment for the area']",[6982 6271 6270],[ 24  17 278]
807,safety cutoff,"['Elevator Safety Equipment' 'Levee Cutoff Trenches'
 'Electronic Safety and Security']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3534 6793 4894],[327 102 104]
808,steam trap,"['Grease Traps' 'Rodent Control Traps' 'Jacketed, Steam Humidifiers']",['Fall protection' 'Underground building' 'Fall protection lying outside'],[8516 5356 4384],[162 253 157]
809,stopcock,['Process Tools' 'Hydraulic Process Tools' 'Electric Process Tools'],['Shaft front' 'VAT' 'Refrigeration'],[7634 7637 7636],[172 327 111]
810,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
811,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
812,base,['Base Station' 'Base Station Transceivers' 'Resilient Base'],['Base plate' 'Substructure foundation' 'Foundation'],[4973 6449 2281],[ 58  56 265]
813,compression,['Densification' 'Compression Seals' 'Vibroflotation and Densification'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[5444 1683 5442],[327 102 104]
814,spring,['Fountains' 'Fountain Pumps' 'Commissioning of Fountains'],['Border' 'Border' 'severance pay'],[3357 3915 3337],[261 266   9]
815,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
816,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
817,breeching inlet,"['Air Outlet and Inlet Schedule' 'Stormwater Curbside Drains and Inlets'
 'Stormwater Area Drains and Inlets']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3994 6208 6207],[327 102 104]
818,fire hydrant,['Fire Hydrants' 'Facility Fire Hydrants' 'Fire Pumps'],['Fire alarm system' 'Water tap' 'Gas tap'],[7016 3621 3653],[ 97 126 137]
819,fire monitor,['Fire Pumps' 'Fire Barriers' 'Fire Dampers'],"['Fire alarm system' 'Video monitoring system'
 'Device for vital data monitoring']",[3653 5796 4121],[ 97  95 213]
820,hose reel,"['Fire-Suppression Hose Reels' 'Horizontal Reel Flocculation Equipment'
 'Vertical Reel Flocculation Equipment']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3625 8569 8568],[327 102 104]
821,sprinkler,"['Dry-Pipe Sprinkler Systems' 'Fire-Suppression Sprinkler Systems'
 'Wet-Pipe Sprinkler Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3630 3628 3629],[327 102 104]
822,sprinkler deflector,"['Dry-Pipe Sprinkler Systems' 'Fire-Suppression Sprinkler Systems'
 'Wet-Pipe Sprinkler Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3630 3628 3629],[327 102 104]
823,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
824,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
825,cyclonic,"['Cyclonic Liquid Filters' 'Entertainment and Recreation Equipment'
 'Scenery Rigging Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8095 2920 2926],[327 102 104]
826,grease,"['Grease Filters' 'Grease Removal Devices'
 'Fats, Oils, and Grease Disposal Systems']",['Land registry fee' 'Improvement building ground' 'VAT'],[7902 3746 3745],[  6  45 327]
827,oil,"['Oil and Stormwater Separators' 'Temporary Fuel Oil'
 'Fuel Oil Detection Sensors']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6226  416 5126],[327 102 104]
828,petrol,['Gas Compressors' 'Facility Gasoline Piping' 'Below-Grade Gas Retarders'],['Gas distribution' 'Gas treatment' 'Gas storage'],[7875 4043 1500],[136 134 135]
829,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
830,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
831,bath,['Bath Towels' 'Bath Linens' 'Bath Accessories'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3174 3172 2556],[327 102 104]
832,bidet,"['Residential Bidets' 'Residential Water Closets, Urinals, and Bidets'
 'Commercial Water Closets, Urinals, and Bidets']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3851 3848 3861],[327 102 104]
833,cistern,"['Ground-Level Metal Water Storage Cisterns'
 'Ground-Level Plastic Water Storage Cisterns'
 'Underground Non-Metallic Water Storage Cisterns']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6107 6108 6110],[327 102 104]
834,sanitary fountain,['Fountain Pumps' 'Fountains' 'Fountain Piping'],"['Sanitary facility for the environment' 'VAT'
 'Smoke and heat treatment plant']",[3915 3357 3914],[273 327 102]
835,shower,['Shower Doors' 'Shower Curtains' 'Residential Showers'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[2559 3175 3856],[327 102 104]
836,sink,['Residential Sinks' 'Healthcare Sinks' 'Security Sinks'],['Fall protection' 'Fall protection lying outside' 'Crash'],[3854 3877 3897],[162 157 254]
837,toilet pan,"['Toilet Compartments' 'Stainless-Steel Toilet Compartments'
 'Particleboard Toilet Compartments']",['Fire alarm system' 'Smoke and heat treatment plant' 'VAT'],[2499 2501 2505],[ 97 102 327]
838,urinal,['Residential Urinals' 'Security Urinals' 'Commercial Urinals'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3850 3894 3863],[327 102 104]
839,wash handbasin,['Eye/Face Wash Equipment' 'Wash Fountains' 'Wash Water Troughs'],['Laundry' 'Laundry' 'Laundry'],[3887 3871 8629],[208 209 210]
840,wc seat,"['Seat and Table Assemblies' 'Stadium and Arena Seats'
 'Rear Projection Screens']","['Substructure to ceiling clothing' 'Substructure to wall clothing'
 'Substructure foundation']",[3297 3288 2889],[180 178  56]
841,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
842,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
843,birdcage,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
844,cowl,"['Commercial-Kitchen Hoods' 'Fume Hoods'
 'Standard Commercial-Kitchen Hoods']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[4156 4159 4158],[327 102 104]
845,rainwater hopper,"['Hopper Bulk Material Conveyors' 'Storage Bin and Hopper Cleaning'
 'Hopper Piece Material Conveyors']",['Rainwater line' 'VAT' 'Cold storage'],[7438 7397 7476],[ 34 327 112]
846,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
847,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
848,floor trap,['Grease Traps' 'Rodent Control Traps' 'Floor Lamps'],['Flooring' 'Floor marking' 'Sub construction to flooring'],[8516 5356 3170],[177 268 176]
849,floor waste,"['Waste Receptacles' 'Waste Containment'
 'Hazardous Waste and Medical Waste Incinerators']",['Waste disposal facility for the environment' 'Flooring' 'Floor marking'],[3188  713 8336],[280 177 268]
850,gully sump,"['Sump Pumps' 'Submersible Sump Pumps'
 'Wet-Pit-Mounted, Vertical Sump Pumps']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3771 3773 3772],[327 102 104]
851,gully trap,['Grease Traps' 'Rodent Control Traps' 'Pin Mixers'],['Fall protection' 'Underground building' 'Fall protection lying outside'],[8516 5356 8567],[162 253 157]
852,roof drain,['Roof Drains' 'Sanitary Drains' 'Bio-Polymer Trench Drain'],['System roof' 'Emergency roof' 'Protection system to roof'],[3768 3744 5475],[166  51 169]
853,wastedisposal unit,['Unit Kitchens' 'Unit Skylights' 'Ultrafilter Units'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[2851 1991 8120],[327 102 104]
854,waste trap,"['Waste Receptacles' 'Waste Containment'
 'Hazardous Waste and Medical Waste Incinerators']","['Waste disposal facility for the environment' 'Fall protection'
 'Underground building']",[3188  713 8336],[280 162 253]
855,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
856,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
857,belt conveyor,"['Belt Bulk Material Conveyors' 'Belt Dryers'
 'Belt Piece Material Conveyors']",['Water tap' 'Gas tap' 'Crash'],[7435 8698 7473],[126 137 186]
858,bucket conveyor,['Bucket Elevators' 'Bucket Dredging' 'Conveyors'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[7446 6745 7470],[327 102 104]
859,chute conveyor,['Conveyors' 'Facility Chutes' 'Coal Chutes'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[7470 3585 3586],[327 102 104]
860,screw conveyor,['Screw Pumps' 'Screw Bulk Material Conveyors' 'Archimedes Screw Pumps'],['Shaft front' 'Vegetation strag layer' 'Protective layer under terrain'],[7981 7440 8074],[172 256 151]
861,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
862,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
863,hose reel,"['Fire-Suppression Hose Reels' 'Horizontal Reel Flocculation Equipment'
 'Vertical Reel Flocculation Equipment']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3625 8569 8568],[327 102 104]
864,loading arm,['Loading Dock Equipment' 'Loading Dock Bumpers' 'Loading Dock Shelters'],"['Load and service elevator' 'Commissioning building'
 'Provisional building']",[2770 2771 2774],[144 318  25]
865,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
866,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
867,barrier beach,['Vehicle Barrier Fenders' 'Vehicle Barriers' 'Fluid-Applied Gas Barrier'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6634 6629  716],[327 102 104]
868,breakwater,['Seawalls' 'Jetties' 'Breakwaters'],['retaining wall' 'Interior wall construction' 'Outside wall construction'],[6755 6769 6766],[249  62  61]
869,canal,['Concrete Ducts' 'Duct Silencers' 'Fibrous-Glass Ducts'],"['Material transport system' 'Transport system for the environment'
 'Rainwater line']",[4109 4124 4106],[243 275  34]
870,drydock,"['Dry-Pack Grouting' 'Dry-Chemical Fire-Extinguishing Equipment'
 'Drying Evaporators']",['Drying' 'Dry extinguish' 'VAT'],[ 895 3652 7814],[192 100 327]
871,floating dock,['Floating Piers' 'Floating Plastic Piers' 'Portable Dock Equipment'],['Gas distribution' 'Gas treatment' 'Gas storage'],[6829 6831 2781],[136 134 135]
872,hydro lift,['Lifts' 'Lifts' 'Lift Schedule'],['Lifting' 'Lifting device' 'Passenger elevator'],[7509 3542 3499],[ 18 148 143]
873,jetty,['Seawalls' 'Jetties' 'Breakwaters'],['retaining wall' 'Interior wall construction' 'Outside wall construction'],[6755 6769 6766],[249  62  61]
874,launch recovery,"['Post-combustion Non-ferrous Metals Recovery Equipment'
 'Claus Sulfur Recovery Equipment'
 'Post-combustion Ferrous Metals Recovery Equipment']",['Planting' 'Improvement building ground' 'Individual planting'],[8326 8228 8325],[258  45 260]
875,marine defence,['Marine Dredging' 'Marine Coatings' 'Marine Construction and Equipment'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6689 2403 6827],[327 102 104]
876,navigational channel,"['Swing-type Channel Aeration Equipment' 'Metal Channel Furring'
 'Slotted Channel Framing']","['Material transport system' 'Transport system for the environment'
 'Rainwater line']",[8601 2127 1126],[243 275  34]
877,port,['Gun Ports' 'Operator Interface Terminals (OIT)' 'Contract Interface'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3021 7195  280],[327 102 104]
878,quay,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
879,revetment,['Revetments' 'Gabion Revetments' 'Concrete Unit Masonry Revetments'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6761 6764 6763],[327 102 104]
880,ship lift,['Lifts' 'Lifts' 'Lift Schedule'],['Lifting' 'Lifting device' 'Passenger elevator'],[3542 7509 3499],[ 18 148 143]
881,ship lock,['Waterway Locks' 'Concrete Waterway Locks' 'Piling Waterway Locks'],['Locking system' 'Operating income' 'Material transport system'],[6823 6824 6825],[ 96 324 243]
882,shipyard,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
883,slipway,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
884,waterway,"['Waterway Dredging' 'Waterway Construction and Equipment'
 'Schedules for Waterway Construction']","['Consumer weak stream' 'Storage of weak stream'
 'Installation weak stream']",[6686 6788 6700],[85 83 84]
885,waterwayship lift,['Lifts' 'Lifts' 'Lift Schedule'],['Lifting' 'Lifting device' 'Passenger elevator'],[7509 3542 3499],[ 18 148 143]
886,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
887,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
888,above waterline,"['Above-Grade Vapor Retarders'
 'Electrical Power Generation Voltage Test Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1498 8773 2927],[327 102 104]
889,anchorage,"['Masonry Anchorage and Reinforcing'
 'Period Masonry Anchorage and Reinforcing'
 'Electrical Power Generation Voltage Test Equipment']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[ 955  935 8773],[327 102 104]
890,approach channel,"['Swing-type Channel Aeration Equipment' 'Metal Channel Furring'
 'Slotted Channel Framing']","['Material transport system' 'Transport system for the environment'
 'Access control system']",[8601 2127 1126],[243 275  94]
891,below waterline,"['Below-Grade Monorails' 'Below-Grade Vapor Retarders'
 'Below-Grade Gas Retarders']","['Facade clothing below' 'Protective layer under terrain'
 'Roof seal under terrain']",[6528 1499 1500],[156 151 163]
892,berthing structure,"['Deadend Structures' 'Structure Demolition'
 'Single-Walled Air-Supported Structures']",['Small structure' 'Construction mine' 'Construction inclined roof'],[6361  660 3410],[252  42  69]
893,chamber,"['Bedroom Furnishings' 'Combustion Chamber Masonry'
 'Distribution Chambers']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3176 1030 6159],[327 102 104]
894,cill_ level,"['Level Measurement' 'Displacement-Type Level Meters'
 'Nuclear Level Meters']",['Management level' 'Automation level' 'Field level'],[7268 7278 7272],[86 87 88]
895,cope level,"['Level Measurement' 'Displacement-Type Level Meters'
 'Nuclear Level Meters']",['Management level' 'Automation level' 'Field level'],[7268 7278 7272],[86 87 88]
896,core,"['Saturable Core Reactors' 'Concrete Core Drilling'
 'Precast Concrete Hollow Core Planks']",['Game' 'Load and service elevator' 'Medical means of transportation'],[7392  913  853],[279 144 223]
897,crest,"['Spillway Crest Gates' 'Peak Load Controllers'
 'Sinkhole Remediation by Cap Grouting']",['Top layer' 'fee' 'System roof'],[6729 4536  720],[267 309 166]
898,gate head,"['Hydraulic Head Gates' 'Differential Head Clarifier Equipment'
 'Wood Pediment Heads']",['Interior gate' 'Outer gate' 'Operating income'],[6730 8579 1320],[175 160 324]
