Classifications,Property Names,Property Types
IfcProduct,MitigatedRiskLikelihood,"['CONSIDERABLE', 'CRITICAL', 'HIGH', 'INSIGNIFICANT', 'LOW', 'MODERATE', 'NOTKNOWN', 'OTHER', 'SOME', 'UNSET', 'VERYHIGH', 'VERYLOW']"
IfcProduct,MitigatedRiskSignificance,"['CONSIDERABLE', 'CRITICAL', 'HIGH', 'INSIGNIFICANT', 'LOW', 'MODERATE', 'NOTKNOWN', 'OTHER', 'SOME', 'UNSET', 'VERYHIGH', 'VERYLOW']"
IfcProduct,MitigationPlanned,string
IfcProduct,MitigationProposed,string
IfcProduct,NatureOfRisk,string
IfcProduct,RiskAssessmentMethodology,string
IfcProduct,RiskName,string
IfcProduct,RiskType,"['ASBESTOSEFFECTS', 'ASPHIXIATION', 'BUSINESS', 'BUSINESSISSUES', 'CHEMICALEFFECTS', 'COMMERICALISSUES', 'CONFINEMENT', 'CRUSHING', 'DROWNINGANDFLOODING', 'ELECTRICSHOCK', 'ENVIRONMENTALISSUES', 'EVENT', 'FALL', 'FALL_LADDER', 'FALLEDGE', 'FALLFRAGILEMATERIAL', 'FALLSCAFFOLD', 'FIRE_EXPLOSION', 'HANDLING', 'HAZARD', 'HAZARDOUSDUST', 'HEALTHANDSAFETY', 'HEALTHISSUE', 'INSURANCE', 'INSURANCE_ISSUES', 'LEADEFFECTS', 'MACHINERYGUARDING', 'MATERIALEFFECTS', 'MATERIALSHANDLING', 'MECHANICAL_LIFTING', 'MECHANICALEFFECTS', 'MOBILE_ELEVATEDWORKPLATFORM', 'NOISE_EFFECTS', 'NOTKNOWN', 'OPERATIONALISSUES', 'OTHER', 'OTHERISSUES', 'OVERTURINGPLANT', 'PUBLICPROTECTIONISSUES', 'SAFETYISSUE', 'SILICADUST', 'SLIPTRIP', 'SOCIALISSUES', 'STRUCK', 'STRUCKFALLINFOBJECT', 'STRUCKVEHICLE', 'TOOLUSAGE', 'TRAPPED', 'UNINTENDEDCOLLAPSE', 'UNSET', 'VIBRATION', 'WELFAREISSUE', 'WOODDUST', 'WORKINGOVERHEAD']"
IfcProduct,UnmitigatedRiskConsequence,"['CONSIDERABLE', 'CRITICAL', 'HIGH', 'INSIGNIFICANT', 'LOW', 'MODERATE', 'NOTKNOWN', 'OTHER', 'SOME', 'UNSET', 'VERYHIGH', 'VERYLOW']"
IfcProduct,UnmitigatedRiskLikelihood,"['CONSIDERABLE', 'CRITICAL', 'HIGH', 'INSIGNIFICANT', 'LOW', 'MODERATE', 'NOTKNOWN', 'OTHER', 'SOME', 'UNSET', 'VERYHIGH', 'VERYLOW']"
IfcProduct,UnmitigatedRiskSignificance,"['CONSIDERABLE', 'CRITICAL', 'HIGH', 'INSIGNIFICANT', 'LOW', 'MODERATE', 'NOTKNOWN', 'OTHER', 'SOME', 'UNSET', 'VERYHIGH', 'VERYLOW']"
IfcProject,FundingSource,string
IfcProject,PaybackPeriod,string
IfcProject,ProjectType,"['MODIFICATION', 'NEWBUILD', 'OPERATIONMAINTENANCE', 'RENOVATION', 'REPAIR']"
IfcProject,ROI,real
IfcResource,Identification,string
IfcResource,LongDescription,string
IfcRoot,Description,string
IfcRoot,GlobalId,string
IfcRoot,Name,string
IfcMaterial,CO2Content,real
IfcMaterial,COContent,real
IfcMaterial,N20Content,real
IfcMaterial,SpecificHeatCapacity,real
IfcMaterial,MassDensity,real
IfcMaterial,MolecularWeight,real
IfcMaterial,Porosity,real
IfcMaterial,AdmixturesDescription,string
IfcMaterial,CompressiveStrength,real
IfcMaterial,MaxAggregateSize,real
IfcMaterial,ProtectivePoreRatio,real
IfcMaterial,WaterImpermeability,string
IfcMaterial,Workability,string
IfcMaterial,GasPressure,real
IfcMaterial,MoistureCapacityThermalGradient,real
IfcMaterial,SolarRefractionIndex,real
IfcMaterial,SpecificHeatTemperatureDerivative,real
IfcMaterial,ThermalConductivityTemperatureDerivative,real
IfcMaterial,ViscosityTemperatureDerivative,real
IfcMaterial,VisibleRefractionIndex,real
IfcMaterial,CarbonContent,real
IfcMaterial,CombustionTemperature,real
IfcMaterial,HigherHeatingValue,real
IfcMaterial,LowerHeatingValue,real
IfcMaterial,IsothermalMoistureCapacity,real
IfcMaterial,LowerVaporResistanceFactor,real
IfcMaterial,MoistureDiffusivity,real
IfcMaterial,UpperVaporResistanceFactor,real
IfcMaterial,VaporPermeability,real
IfcMaterial,DynamicViscosity,real
IfcMaterial,PoissonRatio,real
IfcMaterial,ShearModulus,real
IfcMaterial,ThermalExpansionCoefficient,real
IfcMaterial,YoungModulus,real
IfcMaterial,SolarReflectanceBack,real
IfcMaterial,SolarReflectanceFront,real
IfcMaterial,SolarTransmittance,real
IfcMaterial,ThermalIrEmissivityBack,real
IfcMaterial,ThermalIrEmissivityFront,real
IfcMaterial,ThermalIrTransmittance,real
IfcMaterial,VisibleReflectanceBack,real
IfcMaterial,VisibleReflectanceFront,real
IfcMaterial,VisibleTransmittance,real
IfcMaterial,HardeningModule,real
IfcMaterial,PlasticStrain,real
IfcMaterial,ProportionalStress,real
IfcMaterial,StructuralGrade,string
IfcMaterial,UltimateStrain,real
IfcMaterial,UltimateStress,real
IfcMaterial,YieldStress,real
IfcMaterial,BoilingPoint,real
IfcMaterial,FreezingPoint,real
IfcMaterial,SpecificHeatCapacity,real
IfcMaterial,ThermalConductivity,real
IfcMaterial,AcidityConcentration,real
IfcMaterial,AlkalinityConcentration,real
IfcMaterial,DissolvedSolidsContent,real
IfcMaterial,Hardness,real
IfcMaterial,ImpuritiesContent,real
IfcMaterial,IsPotable,"['TRUE', 'FALSE']"
IfcMaterial,PHLevel,real
IfcMaterial,AppearanceGrade,string
IfcMaterial,DimensionalChangeCoefficient,real
IfcMaterial,Layup,string
IfcMaterial,MoistureContent,real
IfcMaterial,Species,string
IfcMaterial,StrengthGrade,string
IfcMaterial,ThicknessSwelling,real
IfcMaterial,ApplicableStructuralDesignMethod,string
IfcMaterial,BendingStrength,real
IfcMaterial,CompStrength,real
IfcMaterial,CompStrengthPerp,real
IfcMaterial,RaisedCompStrengthPerp,real
IfcMaterial,ReferenceDepth,real
IfcMaterial,ShearModulus,real
IfcMaterial,ShearModulusMin,real
IfcMaterial,ShearStrength,real
IfcMaterial,TensileStrength,real
IfcMaterial,TensileStrengthPerp,real
IfcMaterial,TorsionalStrength,real
IfcMaterial,YoungModulus,real
IfcMaterial,YoungModulusMin,real
IfcMaterial,YoungModulusPerp,real
IfcMaterial,YoungModulusPerpMin,real
IfcMaterial,BendingStrength,real
IfcMaterial,CompStrength,real
IfcMaterial,CompStrengthPerp,real
IfcMaterial,RaisedCompStrengthPerp,real
IfcMaterial,ReferenceDepth,real
IfcMaterial,ShearModulus,real
IfcMaterial,ShearModulusMin,real
IfcMaterial,ShearStrength,real
IfcMaterial,TensileStrength,real
IfcMaterial,TensileStrengthPerp,real
IfcMaterial,TorsionalStrength,real
IfcMaterial,YoungModulus,real
IfcMaterial,YoungModulusMin,real
IfcMaterial,YoungModulusPerp,real
IfcMaterial,YoungModulusPerpMin,real
IfcMaterial,BendingStrength,real
IfcMaterial,CompStrength,real
IfcMaterial,CompStrengthPerp,real
IfcMaterial,RaisedCompStrengthPerp,real
IfcMaterial,ReferenceDepth,real
IfcMaterial,ShearModulus,real
IfcMaterial,ShearModulusMin,real
IfcMaterial,ShearStrength,real
IfcMaterial,TensileStrength,real
IfcMaterial,TensileStrengthPerp,real
IfcMaterial,TorsionalStrength,real
IfcMaterial,YoungModulus,real
IfcMaterial,YoungModulusMin,real
IfcMaterial,YoungModulusPerp,real
IfcMaterial,YoungModulusPerpMin,real
IfcMaterial,RaisedCompressiveStrength,real
IfcMaterial,ReferenceDepth,real
IfcMaterial,ShearModulus,real
IfcMaterial,YoungModulusCompression,real
IfcMaterial,RaisedCompressiveStrength,real
IfcMaterial,ReferenceDepth,real
IfcMaterial,ShearModulus,real
IfcMaterial,YoungModulusCompression,real
IfcMaterial,RaisedCompressiveStrength,real
IfcMaterial,ReferenceDepth,real
IfcMaterial,ShearModulus,real
IfcMaterial,YoungModulusCompression,real
IfcMaterial,Category,string
IfcMaterial,Description,string
IfcMaterial,Name,string
IfcFireSuppressionTerminal,Reference,string
IfcFireSuppressionTerminal,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcFireSuppressionTerminal,GrossWeight,real
IfcInterceptor,CoverLength,real
IfcInterceptor,CoverWidth,real
IfcInterceptor,InletConnectionSize,real
IfcInterceptor,NominalBodyDepth,real
IfcInterceptor,NominalBodyLength,real
IfcInterceptor,NominalBodyWidth,real
IfcInterceptor,OutletConnectionSize,real
IfcInterceptor,Reference,string
IfcInterceptor,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcInterceptor,VentilatingPipeSize,real
IfcInterceptor,GrossWeight,real
IfcSanitaryTerminal,Colour,string
IfcSanitaryTerminal,NominalDepth,real
IfcSanitaryTerminal,NominalLength,real
IfcSanitaryTerminal,NominalWidth,real
IfcSanitaryTerminal,Reference,string
IfcSanitaryTerminal,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcSanitaryTerminal,GrossWeight,real
IfcStackTerminal,Reference,string
IfcStackTerminal,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcStackTerminal,GrossWeight,real
IfcWasteTerminal,Reference,string
IfcWasteTerminal,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcWasteTerminal,GrossWeight,real
IfcMarineFacility,BerthCargoWeight,real
IfcMarineFacility,BerthGrade,string
IfcMarineFacility,Area,real
IfcMarineFacility,Height,real
IfcMarineFacility,Length,real
IfcMarineFacility,Volume,real
IfcMarineFacility,Width,real
IfcMooringDevice,AnchorageType,"['CASTIN', 'DRILLEDANDFIXED', 'THROUGHBOLTED']"
IfcMooringDevice,DeviceCapacity,real
IfcMooringDevice,DeviceType,"['CLEAT', 'DOUBLEBUTT', 'HORN', 'KIDNEY', 'PILLAR', 'RING', 'SINGLEBUTT', 'THEAD']"
IfcMooringDevice,MaximumLineSlope,real
IfcMooringDevice,MinumumLineSlope,real
IfcTask,IsMilestone,"['TRUE', 'FALSE']"
IfcTask,Status,string
IfcTask,WorkMethod,string
IfcWorkControl,WorkDayDuration,string
IfcWorkControl,WorkFinishTime,string
IfcWorkControl,WorkMonthDuration,string
IfcWorkControl,WorkStartTime,string
IfcWorkControl,WorkWeekDuration,string
IfcWorkControl,CreationDate,string
IfcWorkControl,Duration,string
IfcWorkControl,FinishTime,string
IfcWorkControl,Purpose,string
IfcWorkControl,StartTime,string
IfcWorkControl,TotalFloat,string
IfcAlignment,LRMConstraint,string
IfcAlignment,LRMName,string
IfcAlignment,LRMType,"['LRM_ABSOLUTE', 'LRM_INTERPOLATIVE', 'LRM_RELATIVE', 'LRM_USERDEFINED']"
IfcAlignment,LRMUnit,string
IfcAlignment,UserDefinedLRMType,string
IfcAlignmentCant,RailHeadDistance,real
IfcAlignmentSegment,CantDeficiency,real
IfcAlignmentSegment,CantEquilibrium,real
IfcAlignmentSegment,EndSmoothingLength,real
IfcAlignmentSegment,StartSmoothingLength,real
IfcAlignmentSegment,EndElevation,real
IfcAlignmentSegment,StartElevation,real
IfcAnnotation,ContourValue,real
IfcAnnotation,RoadVisibleDistanceLeft,real
IfcAnnotation,RoadVisibleDistanceRight,real
IfcAnnotation,SetbackDistance,real
IfcAnnotation,VisibleAngleLeft,real
IfcAnnotation,VisibleAngleRight,real
IfcAnnotation,AccuracyQualityExpected,real
IfcAnnotation,AccuracyQualityObtained,real
IfcAnnotation,AcquisitionMethod,"['GPS', 'LASERSCAN_AIRBORNE', 'LASERSCAN_GROUND', 'NOTKNOWN', 'SONAR', 'THEODOLITE', 'UNSET', 'USERDEFINED']"
IfcAnnotation,SoundScale,"['DBA', 'DBB', 'DBC', 'NC', 'NR']"
IfcBridge,StructureIndicator,"['COATED', 'COMPOSITE', 'HOMOGENEOUS']"
IfcBuilding,Country,string
IfcBuilding,Description,string
IfcBuilding,InternalLocation,string
IfcBuilding,PagerNumber,string
IfcBuilding,PostalBox,string
IfcBuilding,PostalCode,string
IfcBuilding,Purpose,"['DISTRIBUTIONPOINT', 'HOME', 'OFFICE', 'OTHER', 'SITE', 'NOTKNOWN', 'UNSET']"
IfcBuilding,Region,string
IfcBuilding,Town,string
IfcBuilding,UserDefinedPurpose,string
IfcBuilding,WWWHomePageURL,string
IfcBuilding,BuildingID,string
IfcBuilding,ConstructionMethod,string
IfcBuilding,ElevationOfRefHeight,real
IfcBuilding,ElevationOfTerrain,real
IfcBuilding,FireProtectionClass,string
IfcBuilding,GrossPlannedArea,real
IfcBuilding,IsLandmarked,"['TRUE', 'FALSE', 'UNKNOWN']"
IfcBuilding,IsPermanentID,"['TRUE', 'FALSE']"
IfcBuilding,NetPlannedArea,real
IfcBuilding,OccupancyType,string
IfcBuilding,Reference,string
IfcBuilding,SprinklerProtection,"['TRUE', 'FALSE']"
IfcBuilding,SprinklerProtectionAutomatic,"['TRUE', 'FALSE']"
IfcBuilding,YearOfConstruction,string
IfcBuilding,YearOfLastRefurbishment,string
IfcBuilding,MarketCategory,string
IfcBuilding,MarketSubCategory,string
IfcBuilding,NarrativeText,string
IfcBuilding,PlanningControlStatus,string
IfcBuilding,VacancyRateInCategoryFuture,real
IfcBuilding,VacancyRateInCategoryNow,real
IfcBuilding,MarketCategory,string
IfcBuilding,MarketSubCategory,string
IfcBuilding,NarrativeText,string
IfcBuilding,PlanningControlStatus,string
IfcBuilding,EavesHeight,real
IfcBuilding,FootPrintArea,real
IfcBuilding,GrossFloorArea,real
IfcBuilding,GrossVolume,real
IfcBuilding,Height,real
IfcBuilding,NetFloorArea,real
IfcBuilding,NetVolume,real
IfcBuilding,BuildingThermalExposure,"['HEAVY', 'LIGHT', 'MEDIUM', 'NOTKNOWN', 'UNSET']"
IfcBuilding,CoolingDesignDay,string
IfcBuilding,CoolingDryBulb,real
IfcBuilding,CoolingWetBulb,real
IfcBuilding,HeatingDesignDay,string
IfcBuilding,HeatingDryBulb,real
IfcBuilding,HeatingWetBulb,real
IfcBuilding,PrevailingWindDirection,real
IfcBuilding,PrevailingWindVelocity,real
IfcBuilding,WeatherDataDate,string
IfcBuilding,WeatherDataStation,string
IfcBuilding,ElevationOfRefHeight,real
IfcBuilding,ElevationOfTerrain,real
IfcBuildingStorey,AboveGround,"['TRUE', 'FALSE', 'UNKNOWN']"
IfcBuildingStorey,ElevationOfFFLRelative,real
IfcBuildingStorey,ElevationOfSSLRelative,real
IfcBuildingStorey,EntranceLevel,"['TRUE', 'FALSE']"
IfcBuildingStorey,GrossPlannedArea,real
IfcBuildingStorey,LoadBearingCapacity,real
IfcBuildingStorey,NetPlannedArea,real
IfcBuildingStorey,Reference,string
IfcBuildingStorey,SprinklerProtection,"['TRUE', 'FALSE']"
IfcBuildingStorey,SprinklerProtectionAutomatic,"['TRUE', 'FALSE']"
IfcBuildingStorey,GrossFloorArea,real
IfcBuildingStorey,GrossHeight,real
IfcBuildingStorey,GrossPerimeter,real
IfcBuildingStorey,GrossVolume,real
IfcBuildingStorey,NetFloorArea,real
IfcBuildingStorey,NetHeight,real
IfcBuildingStorey,NetVolume,real
IfcBuildingStorey,Elevation,real
IfcBuiltSystem,ProcessItem,"['BARREL', 'CGT', 'NOTKNOWN', 'OTHER', 'PASSENGER', 'TEU', 'TONNE', 'UNSET', 'VEHICLE']"
IfcBuiltSystem,ProcessPerformance,string
IfcBuiltSystem,LongName,string
IfcCivilElement,Reference,string
IfcCivilElement,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcCivilElement,AssemblyPlace,"['FACTORY', 'NOTKNOWN', 'OFFSITE', 'OTHER', 'SITE', 'UNSET']"
IfcCivilElement,CastingMethod,"['INSITU', 'PRECAST', 'PRINTED', 'MIXED', 'OTHER', 'NOTKNOWN', 'UNSET']"
IfcCivilElement,ConcreteCover,real
IfcCivilElement,ConcreteCoverAtLinks,real
IfcCivilElement,ConcreteCoverAtMainBars,real
IfcCivilElement,ConstructionToleranceClass,string
IfcCivilElement,DimensionalAccuracyClass,string
IfcCivilElement,ExposureClass,string
IfcCivilElement,ReinforcementAreaRatio,real
IfcCivilElement,ReinforcementStrengthClass,string
IfcCivilElement,ReinforcementVolumeRatio,real
IfcCivilElement,StrengthClass,string
IfcCivilElement,StructuralClass,string
IfcCivilElement,ActualErectionDate,string
IfcCivilElement,ActualProductionDate,string
IfcCivilElement,AsBuiltLocationNumber,string
IfcCivilElement,PieceMark,string
IfcCivilElement,ProductionLotId,string
IfcCivilElement,SerialNumber,string
IfcCivilElement,TypeDesignation,string
IfcCivilElement,BatterAtEnd,real
IfcCivilElement,BatterAtStart,real
IfcCivilElement,CamberAtMidspan,real
IfcCivilElement,CornerChamfer,real
IfcCivilElement,DesignLocationNumber,string
IfcCivilElement,FormStrippingStrength,real
IfcCivilElement,HollowCorePlugging,string
IfcCivilElement,InitialTension,real
IfcCivilElement,LiftingStrength,real
IfcCivilElement,ManufacturingToleranceClass,string
IfcCivilElement,MinimumAllowableSupportLength,real
IfcCivilElement,PieceMark,string
IfcCivilElement,ReleaseStrength,real
IfcCivilElement,Shortening,real
IfcCivilElement,SupportDuringTransportDescription,string
IfcCivilElement,TendonRelaxation,real
IfcCivilElement,TransportationStrength,real
IfcCivilElement,Twisting,real
IfcCivilElement,TypeDesignation,string
IfcDistributionElement,ConductorFunction,"['NEUTRAL', 'NOTKNOWN', 'OTHER', 'PHASE_L1', 'PHASE_L2', 'PHASE_L3', 'PROTECTIVEEARTH', 'PROTECTIVEEARTHNEUTRAL', 'UNSET']"
IfcDistributionElement,EarthingStyle,string
IfcDistributionElement,HasProtectiveEarth,"['TRUE', 'FALSE']"
IfcDistributionElement,HeatDissipation,real
IfcDistributionElement,IK_Code,string
IfcDistributionElement,InsulationStandardClass,"['CLASS0APPLIANCE', 'CLASS0IAPPLIANCE', 'CLASSIAPPLIANCE', 'CLASSIIAPPLIANCE', 'CLASSIIIAPPLIANCE', 'NOTKNOWN', 'OTHER', 'UNSET']"
IfcDistributionElement,IP_Code,string
IfcDistributionElement,NominalPowerConsumption,real
IfcDistributionElement,PowerFactor,real
IfcDistributionElement,EnergyConsumption,real
IfcDistributionElement,EnergyConversionEfficiency,real
IfcDistributionElement,EnergySourceLabel,string
IfcDistributionElement,PowerDemand,real
IfcDistributionElement,CarbonDioxideEmissions,real
IfcDistributionElement,NitrogenOxidesEmissions,real
IfcDistributionElement,NoiseEmissions,real
IfcDistributionElement,ParticulateMatterEmissions,real
IfcDistributionElement,SulphurDioxideEmissions,real
IfcElement,AtmosphericAcidificationPerUnit,real
IfcElement,ClimateChangePerUnit,real
IfcElement,EutrophicationPerUnit,real
IfcElement,ExpectedServiceLife,real
IfcElement,FunctionalUnitReference,string
IfcElement,HazardousWastePerUnit,real
IfcElement,IndicatorsUnit,string
IfcElement,InertWastePerUnit,real
IfcElement,LifeCyclePhase,"['ACQUISITION', 'CRADLETOSITE', 'DECONSTRUCTION', 'DISPOSAL', 'DISPOSALTRANSPORT', 'GROWTH', 'INSTALLATION', 'MAINTENANCE', 'MANUFACTURE', 'NOTDEFINED', 'OCCUPANCY', 'OPERATION', 'PROCUREMENT', 'PRODUCTION', 'PRODUCTIONTRANSPORT', 'RECOVERY', 'REFURBISHMENT', 'REPAIR', 'REPLACEMENT', 'TRANSPORT', 'USAGE', 'USERDEFINED', 'WASTE', 'WHOLELIFECYCLE']"
IfcElement,NonHazardousWastePerUnit,real
IfcElement,NonRenewableEnergyConsumptionPerUnit,real
IfcElement,PhotochemicalOzoneFormationPerUnit,real
IfcElement,RadioactiveWastePerUnit,real
IfcElement,Reference,string
IfcElement,RenewableEnergyConsumptionPerUnit,real
IfcElement,ResourceDepletionPerUnit,real
IfcElement,StratosphericOzoneLayerDestructionPerUnit,real
IfcElement,TotalPrimaryEnergyConsumptionPerUnit,real
IfcElement,WaterConsumptionPerUnit,real
IfcElement,AtmosphericAcidification,real
IfcElement,ClimateChange,real
IfcElement,Duration,string
IfcElement,Eutrophication,real
IfcElement,HazardousWaste,real
IfcElement,InertWaste,real
IfcElement,LeadInTime,string
IfcElement,LeadOutTime,string
IfcElement,NonHazardousWaste,real
IfcElement,NonRenewableEnergyConsumption,real
IfcElement,PhotochemicalOzoneFormation,real
IfcElement,RadioactiveWaste,real
IfcElement,RenewableEnergyConsumption,real
IfcElement,ResourceDepletion,real
IfcElement,StratosphericOzoneLayerDestruction,real
IfcElement,TotalPrimaryEnergyConsumption,real
IfcElement,WaterConsumption,real
IfcElement,MaximumAtmosphericPressure,real
IfcElement,MaximumRainIntensity,real
IfcElement,MaximumSolarRadiation,real
IfcElement,MaximumWindSpeed,real
IfcElement,SaltMistLevel,string
IfcElement,SeismicResistance,real
IfcElement,SmokeLevel,string
IfcElement,AcceptanceDate,string
IfcElement,InstallationDate,string
IfcElement,PutIntoOperationDate,string
IfcElement,MeanTimeToRepair,real
IfcElement,RepairContent,string
IfcElement,RepairDate,string
IfcElement,AssessmentCondition,string
IfcElement,AssessmentDate,string
IfcElement,AssessmentDescription,string
IfcElement,AssessmentFrequency,real
IfcElement,AssessmentType,string
IfcElement,LastAssessmentReport,string
IfcElement,NextAssessmentDate,string
IfcElement,ProcurementMethod,string
IfcElement,SpecificationSectionNumber,string
IfcElement,SubmittalIdentifer,string
IfcElement,AssetIdentifier,string
IfcElement,InstallationDate,string
IfcElement,ModelNumber,string
IfcElement,TagNumber,string
IfcElement,AccidentResponse,"['EMERGENCYINSPECTION', 'EMERGENCYPROCEDURE', 'REACTIVE', 'URGENTINSPECTION', 'URGENTPROCEDURE']"
IfcElement,AssetCriticality,"['HIGH', 'LOW', 'MODERATE', 'VERYHIGH', 'VERYLOW']"
IfcElement,AssetFrailty,"['HIGH', 'LOW', 'MODERATE', 'VERYHIGH', 'VERYLOW']"
IfcElement,AssetPriority,"['HIGH', 'LOW', 'MODERATE', 'VERYHIGH', 'VERYLOW']"
IfcElement,MonitoringType,"['FEEDBACK', 'INSPECTION', 'IOT', 'PPM', 'SENSORS']"
IfcElement,ConditionDisposalLevel,"['HIGH', 'LOW', 'MODERATE', 'VERYHIGH', 'VERYLOW']"
IfcElement,ConditionMaintenanceLevel,"['HIGH', 'LOW', 'MODERATE', 'VERYHIGH', 'VERYLOW']"
IfcElement,ConditionReplacementLevel,"['HIGH', 'LOW', 'MODERATE', 'VERYHIGH', 'VERYLOW']"
IfcElement,ConditionTargetPerformance,"['HIGH', 'LOW', 'MODERATE', 'VERYHIGH', 'VERYLOW']"
IfcElement,DurationDisposalLevel,string
IfcElement,DurationMaintenanceLevel,string
IfcElement,DurationReplacementLevel,string
IfcElement,DurationTargetPerformance,string
IfcElement,DisposalLevel,real
IfcElement,PerformanceMaintenanceLevel,real
IfcElement,ReplacementLevel,real
IfcElement,TargetPerformance,real
IfcElement,AcquisitionDate,string
IfcElement,AssemblyPlace,"['FACTORY', 'NOTKNOWN', 'OFFSITE', 'OTHER', 'SITE', 'UNSET']"
IfcElement,BarCode,string
IfcElement,BatchReference,string
IfcElement,ManufacturingDate,string
IfcElement,SerialNumber,string
IfcElement,ArticleNumber,string
IfcElement,AssemblyPlace,"['FACTORY', 'NOTKNOWN', 'OFFSITE', 'OTHER', 'SITE', 'UNSET']"
IfcElement,GlobalTradeItemNumber,string
IfcElement,Manufacturer,string
IfcElement,ModelLabel,string
IfcElement,ModelReference,string
IfcElement,ProductionYear,string
IfcElement,MeanTimeBetweenFailure,string
IfcElement,Exclusions,string
IfcElement,IsExtendedWarranty,"['TRUE', 'FALSE']"
IfcElement,PointOfContact,string
IfcElement,WarrantyContent,string
IfcElement,WarrantyIdentifier,string
IfcElement,WarrantyPeriod,string
IfcElement,WarrantyStartDate,string
IfcElement,CyclicRange,real
IfcElement,LinearRange,real
IfcElement,MaximumAngularVelocity,real
IfcElement,MaximumConstantSpeed,real
IfcElement,MinimumTime,real
IfcElement,Tag,string
IfcElement,ElementType,string
IfcElementAssembly,Reference,string
IfcElementAssembly,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcElementAssembly,AssemblyPlace,"['FACTORY', 'SITE', 'NOTDEFINED']"
IfcFacilityPart,Area,real
IfcFacilityPart,Height,real
IfcFacilityPart,Length,real
IfcFacilityPart,Volume,real
IfcFacilityPart,Width,real
IfcFacilityPart,UsageType,"['LATERAL', 'LONGITUDINAL', 'REGION', 'VERTICAL', 'USERDEFINED', 'NOTDEFINED']"
IfcImpactProtectionDevice,Weight,real
IfcOpeningElement,AcousticRating,string
IfcOpeningElement,FireExit,"['TRUE', 'FALSE']"
IfcOpeningElement,FireRating,string
IfcOpeningElement,Purpose,string
IfcOpeningElement,Reference,string
IfcOpeningElement,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcOpeningElement,Area,real
IfcOpeningElement,Depth,real
IfcOpeningElement,Height,real
IfcOpeningElement,Volume,real
IfcOpeningElement,Width,real
IfcProjectionElement,Area,real
IfcProjectionElement,Volume,real
IfcReferent,NameFormat,string
IfcReferent,IncomingStation,real
IfcReferent,Station,real
IfcSite,Country,string
IfcSite,Description,string
IfcSite,InternalLocation,string
IfcSite,PagerNumber,string
IfcSite,PostalBox,string
IfcSite,PostalCode,string
IfcSite,Purpose,"['DISTRIBUTIONPOINT', 'HOME', 'OFFICE', 'OTHER', 'SITE', 'NOTKNOWN', 'UNSET']"
IfcSite,Region,string
IfcSite,Town,string
IfcSite,UserDefinedPurpose,string
IfcSite,WWWHomePageURL,string
IfcSite,MaxAmbientTemp,real
IfcSite,MinAmbientTemp,real
IfcSite,IsPermanentID,"['TRUE', 'FALSE']"
IfcSite,LandID,string
IfcSite,LandTitleID,string
IfcSite,BuildableArea,real
IfcSite,BuildingHeightLimit,real
IfcSite,FloorAreaRatio,real
IfcSite,Reference,string
IfcSite,SiteCoverageRatio,real
IfcSite,TotalArea,real
IfcSite,GrossArea,real
IfcSite,GrossPerimeter,real
IfcSite,LandTitleNumber,string
IfcSite,RefElevation,real
IfcSpace,ProcessItem,"['BARREL', 'CGT', 'NOTKNOWN', 'OTHER', 'PASSENGER', 'TEU', 'TONNE', 'UNSET', 'VEHICLE']"
IfcSpace,ProcessPerformance,string
IfcSpace,FinishCeilingHeight,real
IfcSpace,FinishFloorHeight,real
IfcSpace,GrossCeilingArea,real
IfcSpace,GrossFloorArea,real
IfcSpace,GrossPerimeter,real
IfcSpace,GrossVolume,real
IfcSpace,GrossWallArea,real
IfcSpace,Height,real
IfcSpace,NetCeilingArea,real
IfcSpace,NetFloorArea,real
IfcSpace,NetPerimeter,real
IfcSpace,NetVolume,real
IfcSpace,NetWallArea,real
IfcSpace,ElevationWithFlooring,real
IfcSpace,LongName,string
IfcSpatialElement,GrossPlannedArea,real
IfcSpatialElement,HandicapAccessible,"['TRUE', 'FALSE']"
IfcSpatialElement,IsExternal,"['TRUE', 'FALSE']"
IfcSpatialElement,NetPlannedArea,real
IfcSpatialElement,PubliclyAccessible,"['TRUE', 'FALSE']"
IfcSpatialElement,Reference,string
IfcSpatialElement,CeilingCovering,string
IfcSpatialElement,CeilingCoveringThickness,real
IfcSpatialElement,ConcealedCeiling,"['TRUE', 'FALSE']"
