,raw,code,word,Translated_Text
206,H03.04 Grossküche: Verteilung;H03.04;Grossküche:;Verteilung;;;;;Grossküche: Verteilung,H03.04,Grossküche: Verteilung,Grand kitchen distribution
207,H03.05 Grossküche: Armatur,H03.05,Grossküche: Armatur,Grand kitchen fitting
208,H04.01 Wäscherei-,H04.01,Wäscherei-,Laundry
209,H04.02 Wäscherei-,H04.02,Wäscherei-,Laundry
210,H04.03 Wäscherei-,H04.03,Wäscherei-,Laundry
211,H04.04 Wäscherei-,H04.04,Wäscherei-,Laundry
212,H04.05 Wäscherei-,H04.05,Wäscherei-,Laundry
213,H05.01 Gerät für Vitaldatenüberwachung;H05.01;Gerät;für;Vitaldatenüberwachung;;;;Gerät für Vitaldatenüberwachung,H05.01,Gerät für Vitaldatenüberwachung,Device for vital data monitoring
214,H05.02 Einrichtung für Diagnostik;H05.02;Einrichtung;für;Diagnostik;;;;Einrichtung für Diagnostik,H05.02,Einrichtung für Diagnostik,Establishment for diagnostics
215,H05.03 Gerät für Behandlung,H05.03,Gerät für Behandlung,Device for treatment
216,H05.04 Medizinisches Kälte-,H05.04,Medizinisches Kälte-,Medical cold
217,H05.05 Mess-,H05.05,Mess-,Measurement
218,H05.06 Reinigung,H05.06,Reinigung,cleaning
219,H05.07 Medizinische Einrichtung,H05.07,Medizinische Einrichtung,medical facilities
220,H05.08 Medizinischer Beleuchtungskörper;H05.08;Medizinischer;Beleuchtungskörper;;;;;Medizinischer Beleuchtungskörper,H05.08,Medizinischer Beleuchtungskörper,Medical lighting body
221,H05.09 Medizinische Textilien;H05.09;Medizinische;Textilien;;;;;Medizinische Textilien,H05.09,Medizinische Textilien,Medical textiles
222,H05.10 Medizinisches Kleininventar;H05.10;Medizinisches;Kleininventar;;;;;Medizinisches Kleininventar,H05.10,Medizinisches Kleininventar,Medical small inventory
223,H05.11 Medizinisches Transportmittel;H05.11;Medizinisches;Transportmittel;;;;;Medizinisches Transportmittel,H05.11,Medizinisches Transportmittel,Medical means of transportation
224,H05.12 Medizinisches Betriebsmittel;H05.12;Medizinisches;Betriebsmittel;;;;;Medizinisches Betriebsmittel,H05.12,Medizinisches Betriebsmittel,Medical equipment
225,H06.01 Bildung,H06.01,Bildung,Education
226,H06.02 Bildung,H06.02,Bildung,Education
227,H06.03 Bildung,H06.03,Bildung,Education
228,H06.04 Bildung,H06.04,Bildung,Education
229,H07.01 Sportanlage,H07.01,Sportanlage,Sports facility
230,H07.02 Sportanlage,H07.02,Sportanlage,Sports facility
231,H07.03 Sportanlage,H07.03,Sportanlage,Sports facility
232,H07.04 Sportanlage,H07.04,Sportanlage,Sports facility
233,H08.01 Erholungsanlage: Versorgung,H08.01,Erholungsanlage: Versorgung,Recreation system supply
234,H08.02 Erholungsanlage: Apparat;H08.02;Erholungsanlage:;Apparat;;;;;Erholungsanlage: Apparat,H08.02,Erholungsanlage: Apparat,Recreation system apparatus
235,H08.03 Erholungsanlage: Steuerung;H08.03;Erholungsanlage:;Steuerung;;;;;Erholungsanlage: Steuerung,H08.03,Erholungsanlage: Steuerung,Recreation system control
236,H08.04 Erholungsanlage: Einbauten;H08.04;Erholungsanlage:;Einbauten;;;;;Erholungsanlage: Einbauten,H08.04,Erholungsanlage: Einbauten,Recreation system built in
237,H09.01 Nutzungsspezifische Anlage: Versorgung,H09.01,Nutzungsspezifische Anlage: Versorgung,Usage specific system supply
238,H09.02 Nutzungsspezifische Anlage: Aufbereitung;H09.02;Nutzungsspezifische;Anlage:;Aufbereitung;;;;Nutzungsspezifische Anlage: Aufbereitung,H09.02,Nutzungsspezifische Anlage: Aufbereitung,Usage specific system preparation
239,H09.03 Nutzungsspezifische Anlage: Speicherung,H09.03,Nutzungsspezifische Anlage: Speicherung,Usage specific system storage
240,H09.04 Nutzungsspezifische Anlage: Verteilung;H09.04;Nutzungsspezifische;Anlage:;Verteilung;;;;Nutzungsspezifische Anlage: Verteilung,H09.04,Nutzungsspezifische Anlage: Verteilung,Usage specific system distribution
241,H09.05 Nutzungsspezifische Anlage: Armatur,H09.05,Nutzungsspezifische Anlage: Armatur,Usage specific system fitting
242,H09.06 Parkieranlage;H09.06;Parkieranlage;;;;;;Parkieranlage,H09.06,Parkieranlage,Parking system
243,H09.07 Materialtransportanlage;H09.07;Materialtransportanlage;;;;;;Materialtransportanlage,H09.07,Materialtransportanlage,Material transport system
244,H09.08 Kühlzelle;H09.08;Kühlzelle;;;;;;Kühlzelle,H09.08,Kühlzelle,Heat cell
245,H09.09 Lagereinrichtung;H09.09;Lagereinrichtung;;;;;;Lagereinrichtung,H09.09,Lagereinrichtung,Storage device
246,I01.01 Geländeanpassung;I01.01;Geländeanpassung;;;;;;Geländeanpassung,I01.01,Geländeanpassung,Terrain adjustment
247,I01.02 Tief liegende Entwässerung;I01.02;Tief;liegende;Entwässerung;;;;Tief liegende Entwässerung,I01.02,Tief liegende Entwässerung,Deep drainage
248,I02.01 Böschungsverbau;I02.01;Böschungsverbau;;;;;;Böschungsverbau,I02.01,Böschungsverbau,Embankment
249,I02.02 Stützmauer;I02.02;Stützmauer;;;;;;Stützmauer,I02.02,Stützmauer,retaining wall
250,I02.03 Frei stehende Wand;I02.03;Frei;stehende;Wand;;;;Frei stehende Wand,I02.03,Frei stehende Wand,Freely standing wall
251,I02.04 Treppe,I02.04,Treppe,Stairs
252,I02.05 Kleinbauwerk;I02.05;Kleinbauwerk;;;;;;Kleinbauwerk,I02.05,Kleinbauwerk,Small structure
253,I02.06 Unterirdisches Bauwerk;I02.06;Unterirdisches;Bauwerk;;;;;Unterirdisches Bauwerk,I02.06,Unterirdisches Bauwerk,Underground building
254,I02.07 Absturz-,I02.07,Absturz-,Crash
255,I02.08 Einfriedung;I02.08;Einfriedung;;;;;;Einfriedung,I02.08,Einfriedung,enclosure
256,I03.01 Vegetationstragschicht;I03.01;Vegetationstragschicht;;;;;;Vegetationstragschicht,I03.01,Vegetationstragschicht,Vegetation strag layer
257,I03.02 Saatfläche;I03.02;Saatfläche;;;;;;Saatfläche,I03.02,Saatfläche,Seed area
258,I03.03 Flächenbepflanzung,I03.03,Flächenbepflanzung,Planting
259,I03.04 Vertikale Begrünung;I03.04;Vertikale;Begrünung;;;;;Vertikale Begrünung,I03.04,Vertikale Begrünung,Vertical greening
260,I03.05 Einzelbepflanzung;I03.05;Einzelbepflanzung;;;;;;Einzelbepflanzung,I03.05,Einzelbepflanzung,Individual planting
261,I03.06 Einfassung,I03.06,Einfassung,Border
262,I03.07 Naturnahe Wasserfläche;I03.07;Naturnahe;Wasserfläche;;;;;Naturnahe Wasserfläche,I03.07,Naturnahe Wasserfläche,Natural water surface
263,I03.08 Ingenieurbiologische Massnahme;I03.08;Ingenieurbiologische;Massnahme;;;;;Ingenieurbiologische Massnahme,I03.08,Ingenieurbiologische Massnahme,Engineer biological measure
264,I03.09 Pflegemassnahme bis Übergabe;I03.09;Pflegemassnahme;bis;Übergabe;;;;Pflegemassnahme bis Übergabe,I03.09,Pflegemassnahme bis Übergabe,Care measures up to handover
265,I04.01 Fundations-,I04.01,Fundations-,Foundation
266,I04.02 Einfassung,I04.02,Einfassung,Border
267,I04.03 Deckschicht;I04.03;Deckschicht;;;;;;Deckschicht,I04.03,Deckschicht,Top layer
268,I04.04 Bodenmarkierung;I04.04;Bodenmarkierung;;;;;;Bodenmarkierung,I04.04,Bodenmarkierung,Floor marking
269,I05.01 Elektroanlage Starkstrom für Umgebung;I05.01;Elektroanlage;Starkstrom;für;Umgebung;;;Elektroanlage Starkstrom für Umgebung,I05.01,Elektroanlage Starkstrom für Umgebung,Electrical system Strong stream for the surrounding area
270,I05.02 Elektroanlage Schwachstrom für Umgebung;I05.02;Elektroanlage;Schwachstrom;für;Umgebung;;;Elektroanlage Schwachstrom für Umgebung,I05.02,Elektroanlage Schwachstrom für Umgebung,Electrical system weak stream for the environment
271,I05.03 Wärmeanlage für Umgebung;I05.03;Wärmeanlage;für;Umgebung;;;;Wärmeanlage für Umgebung,I05.03,Wärmeanlage für Umgebung,Heat system for the surrounding area
272,I05.04 Kälteanlage für Umgebung;I05.04;Kälteanlage;für;Umgebung;;;;Kälteanlage für Umgebung,I05.04,Kälteanlage für Umgebung,Cold system for the surrounding area
273,I05.05 Sanitäre Anlage für Umgebung;I05.05;Sanitäre;Anlage;für;Umgebung;;;Sanitäre Anlage für Umgebung,I05.05,Sanitäre Anlage für Umgebung,Sanitary facility for the environment
274,I05.06 Oberflächenentwässerung für Umgebung;I05.06;Oberflächenentwässerung;für;Umgebung;;;;Oberflächenentwässerung für Umgebung,I05.06,Oberflächenentwässerung für Umgebung,Surface drainage for the environment
275,I05.07 Transportanlage für Umgebung;I05.07;Transportanlage;für;Umgebung;;;;Transportanlage für Umgebung,I05.07,Transportanlage für Umgebung,Transport system for the environment
276,I05.08 Perimeterschutz;I05.08;Perimeterschutz;;;;;;Perimeterschutz,I05.08,Perimeterschutz,Perimeter protection
277,I06.01 Mobile Ausstattung für Umgebung;I06.01;Mobile;Ausstattung;für;Umgebung;;;Mobile Ausstattung für Umgebung,I06.01,Mobile Ausstattung für Umgebung,Mobile equipment for the surrounding area
278,I06.02 Fixierte Ausstattung für Umgebung;I06.02;Fixierte;Ausstattung;für;Umgebung;;;Fixierte Ausstattung für Umgebung,I06.02,Fixierte Ausstattung für Umgebung,Fixed equipment for the area
279,I06.03 Spiel-,I06.03,Spiel-,Game
280,I06.04 Abfallentsorgungseinrichtung für Umgebung;I06.04;Abfallentsorgungseinrichtung;für;Umgebung;;;;Abfallentsorgungseinrichtung für Umgebung,I06.04,Abfallentsorgungseinrichtung für Umgebung,Waste disposal facility for the environment
281,J01.01 Allgemeines Mobiliar;J01.01;Allgemeines;Mobiliar;;;;;Allgemeines Mobiliar,J01.01,Allgemeines Mobiliar,General furniture
282,J01.02 Nutzungsspezifisches Mobiliar;J01.02;Nutzungsspezifisches;Mobiliar;;;;;Nutzungsspezifisches Mobiliar,J01.02,Nutzungsspezifisches Mobiliar,Usage specific furniture
283,J01.03 Mobile Leuchte;J01.03;Mobile;Leuchte;;;;;Mobile Leuchte,J01.03,Mobile Leuchte,Mobile lamp
284,J01.04 Signaletik;J01.04;Signaletik;;;;;;Signaletik,J01.04,Signaletik,Signal
285,J02.01 Allgemeines Kleininventar;J02.01;Allgemeines;Kleininventar;;;;;Allgemeines Kleininventar,J02.01,Allgemeines Kleininventar,General small inventory
286,J02.02 Nutzungsspezifisches Kleininventar;J02.02;Nutzungsspezifisches;Kleininventar;;;;;Nutzungsspezifisches Kleininventar,J02.02,Nutzungsspezifisches Kleininventar,Use specific small inventory
287,J02.03 Mobiles Gerät;J02.03;Mobiles;Gerät;;;;;Mobiles Gerät,J02.03,Mobiles Gerät,Mobile device
288,J03.01 Allgemeine Textilien;J03.01;Allgemeine;Textilien;;;;;Allgemeine Textilien,J03.01,Allgemeine Textilien,General textiles
289,J03.02 Nutzungsspezifische Textilien;J03.02;Nutzungsspezifische;Textilien;;;;;Nutzungsspezifische Textilien,J03.02,Nutzungsspezifische Textilien,Usage specific textiles
290,J04.01 Kunstobjekt;J04.01;Kunstobjekt;;;;;;Kunstobjekt,J04.01,Kunstobjekt,Art object
291,J04.02 Künstlerisch gestaltetes Bauteil;J04.02;Künstlerisch;gestaltetes;Bauteil;;;;Künstlerisch gestaltetes Bauteil,J04.02,Künstlerisch gestaltetes Bauteil,Artistically designed component
292,V01.01 Architekt;V01.01;Architekt;;;;;;Architekt,V01.01,Architekt,architect
293,V01.02 Landschaftsarchitekt;V01.02;Landschaftsarchitekt;;;;;;Landschaftsarchitekt,V01.02,Landschaftsarchitekt,Landscape architect
294,V01.03 Bauingenieur;V01.03;Bauingenieur;;;;;;Bauingenieur,V01.03,Bauingenieur,Civil engineer
295,V01.04 Fachingenieur Gebäudetechnik;V01.04;Fachingenieur;Gebäudetechnik;;;;;Fachingenieur Gebäudetechnik,V01.04,Fachingenieur Gebäudetechnik,Specialist engineer building technology
296,V01.05 Spezialist;V01.05;Spezialist;;;;;;Spezialist,V01.05,Spezialist,specialist
297,V01.06 Generalplaner,V01.06,Generalplaner,General planner
298,V01.07 Nebenkosten zu Planerleistungen;V01.07;Nebenkosten;zu;Planerleistungen;;;;Nebenkosten zu Planerleistungen,V01.07,Nebenkosten zu Planerleistungen,Additional costs for planning services
299,V02.01 Beratung zur Planung;V02.01;Beratung;zur;Planung;;;;Beratung zur Planung,V02.01,Beratung zur Planung,Advice on planning
300,V02.02 Vorbereitung zur Bewirtschaftung;V02.02;Vorbereitung;zur;Bewirtschaftung;;;;Vorbereitung zur Bewirtschaftung,V02.02,Vorbereitung zur Bewirtschaftung,Preparation for management
301,V03.01 Auswahlverfahren;V03.01;Auswahlverfahren;;;;;;Auswahlverfahren,V03.01,Auswahlverfahren,Selection
302,V03.02 Eigentümer;V03.02;Eigentümer;;;;;;Eigentümer,V03.02,Eigentümer,owner
303,V03.03 Betreiber;V03.03;Betreiber;;;;;;Betreiber,V03.03,Betreiber,operator
304,V03.04 Nutzer;V03.04;Nutzer;;;;;;Nutzer,V03.04,Nutzer,User
305,V03.05 Berater;V03.05;Berater;;;;;;Berater,V03.05,Berater,Advisor
306,V03.06 Anwalt,V03.06,Anwalt,Attorney
307,V03.07 Plattform,V03.07,Plattform,platform
308,W01.01 Bewilligung;W01.01;Bewilligung;;;;;;Bewilligung,W01.01,Bewilligung,Approval
309,W01.02 Gebühr;W01.02;Gebühr;;;;;;Gebühr,W01.02,Gebühr,fee
310,W02.01 Versicherung;W02.01;Versicherung;;;;;;Versicherung,W02.01,Versicherung,Insurance
311,W02.02 Garantie;W02.02;Garantie;;;;;;Garantie,W02.02,Garantie,guarantee
312,W02.03 Rückvergütung;W02.03;Rückvergütung;;;;;;Rückvergütung,W02.03,Rückvergütung,Reimbursement
313,W03.01 Kapitalkosten zu Grundstück;W03.01;Kapitalkosten;zu;Grundstück;;;;Kapitalkosten zu Grundstück,W03.01,Kapitalkosten zu Grundstück,Capital costs for property
314,W03.02 Kapitalkosten zu Erstellung;W03.02;Kapitalkosten;zu;Erstellung;;;;Kapitalkosten zu Erstellung,W03.02,Kapitalkosten zu Erstellung,Creating for capital
315,W04.01 Bewirtungskosten;W04.01;Bewirtungskosten;;;;;;Bewirtungskosten,W04.01,Bewirtungskosten,Catering costs
316,W04.02 Öffentlichkeitsarbeit;W04.02;Öffentlichkeitsarbeit;;;;;;Öffentlichkeitsarbeit,W04.02,Öffentlichkeitsarbeit,public relation
317,W04.03 Entschädigung;W04.03;Entschädigung;;;;;;Entschädigung,W04.03,Entschädigung,Compensation
318,W05.01 Inbetriebnahme Bauwerk;W05.01;Inbetriebnahme;Bauwerk;;;;;Inbetriebnahme Bauwerk,W05.01,Inbetriebnahme Bauwerk,Commissioning building
319,W06.01 Vergütung zu Erstvermietung;W06.01;Vergütung;zu;Erstvermietung;;;;Vergütung zu Erstvermietung,W06.01,Vergütung zu Erstvermietung,Remuneration for first letting
320,W06.02 Nebenkosten zu Erstvermietung;W06.02;Nebenkosten;zu;Erstvermietung;;;;Nebenkosten zu Erstvermietung,W06.02,Nebenkosten zu Erstvermietung,Additional costs for first letting
321,W06.03 Vergütung zu Verkauf;W06.03;Vergütung;zu;Verkauf;;;;Vergütung zu Verkauf,W06.03,Vergütung zu Verkauf,Remuneration for sale
322,W06.04 Nebenkosten zu Verkauf;W06.04;Nebenkosten;zu;Verkauf;;;;Nebenkosten zu Verkauf,W06.04,Nebenkosten zu Verkauf,Sales for additional costs
323,W07.01 Betriebsaufwand;W07.01;Betriebsaufwand;;;;;;Betriebsaufwand,W07.01,Betriebsaufwand,Operating effort
324,W07.02 Betriebsertrag;W07.02;Betriebsertrag;;;;;;Betriebsertrag,W07.02,Betriebsertrag,Operating income
325,Y01.01 Reserve;Y01.01;Reserve;;;;;;Reserve,Y01.01,Reserve,reserve
326,Y02.01 Teuerung;Y02.01;Teuerung;;;;;;Teuerung,Y02.01,Teuerung,Inflation
327,Z01.01 Mehrwertsteuer;Z01.01;Mehrwertsteuer;;;;;;Mehrwertsteuer,Z01.01,Mehrwertsteuer,VAT
